Time	A5	A6	A4	A1	A3	A2	PointerY	PointerZ	
0.049	-0.06999996	-0.06999984	-0.07	-0.06999984	-0.07	-0.06999996	0.5645026	-8.941618E-09	
0.05	-0.06999996	-0.06999984	-0.07	-0.06999984	-0.07	-0.06999996	0.5642147	-9.285043E-09	
0.051	-0.06999996	-0.06999983	-0.07	-0.06999983	-0.07	-0.06999996	0.5639274	-9.532426E-09	
0.052	-0.06999996	-0.06999983	-0.07	-0.06999983	-0.07	-0.06999996	0.5636408	-9.750704E-09	
0.053	-0.06999996	-0.06999981	-0.07	-0.06999981	-0.07	-0.06999996	0.5633551	-9.966072E-09	
0.054	-0.06999996	-0.06999981	-0.07	-0.06999981	-0.07	-0.06999996	0.5630706	-1.018726E-08	
0.055	-0.06999996	-0.06999981	-0.07	-0.06999981	-0.07	-0.06999996	0.5627872	-1.052196E-08	
0.056	-0.06999996	-0.06999981	-0.07	-0.06999981	-0.07	-0.06999996	0.5625052	-1.091195E-08	
0.057	-0.06999996	-0.06999979	-0.07	-0.06999979	-0.07	-0.06999996	0.5622248	-1.133104E-08	
0.058	-0.06999996	-0.06999979	-0.07	-0.06999979	-0.07	-0.06999996	0.5619461	-8.362679E-09	
0.059	-0.06999995	-0.06999978	-0.07	-0.06999978	-0.07	-0.06999995	0.5616693	-8.627524E-09	
0.06	-0.06999995	-0.06999978	-0.07	-0.06999978	-0.07	-0.06999995	0.5613944	-8.790505E-09	
0.061	-0.06999995	-0.06999976	-0.07	-0.06999976	-0.07	-0.06999995	0.5611217	-8.933114E-09	
0.062	-0.06999995	-0.06999976	-0.07	-0.06999976	-0.07	-0.06999995	0.5608513	-8.97968E-09	
0.063	-0.06999994	-0.06999975	-0.07	-0.06999975	-0.07	-0.06999994	0.5605833	-9.008784E-09	
0.064	-0.06999994	-0.06999975	-0.07	-0.06999975	-0.07	-0.06999994	0.5603178	-9.049529E-09	
0.06500001	-0.06999994	-0.06999973	-0.07	-0.06999973	-0.07	-0.06999994	0.560055	-9.107737E-09	
0.066	-0.06999994	-0.06999973	-0.07	-0.06999973	-0.07	-0.06999994	0.559795	-9.398775E-09	
0.067	-0.06999994	-0.06999972	-0.07	-0.06999972	-0.07	-0.06999994	0.5595379	-9.870258E-09	
0.068	-0.06999994	-0.06999972	-0.07	-0.06999972	-0.07	-0.06999994	0.5592839	-5.490461E-09	
0.06900001	-0.06999993	-0.06999971	-0.07	-0.06999971	-0.07	-0.06999993	0.5590329	-5.656352E-09	
0.07	-0.06999993	-0.06999971	-0.07	-0.06999971	-0.07	-0.06999993	0.5587852	-5.650532E-09	
0.071	-0.06999993	-0.06999969	-0.07	-0.06999969	-0.07	-0.06999993	0.5585408	-5.56613E-09	
0.072	-0.06999993	-0.06999969	-0.07	-0.06999969	-0.07	-0.06999993	0.5582999	-5.452625E-09	
0.07300001	-0.06999993	-0.06999968	-0.07	-0.06999968	-0.07	-0.06999993	0.5580625	-5.446805E-09	
0.074	-0.06999993	-0.06999968	-0.07	-0.06999968	-0.07	-0.06999993	0.5578287	-5.711649E-09	
0.075	-0.06999993	-0.06999967	-0.07	-0.06999967	-0.07	-0.06999993	0.5575986	-5.973584E-09	
0.07600001	-0.06999993	-0.06999967	-0.07	-0.06999967	-0.07	-0.06999993	0.5573723	-6.24425E-09	
0.07700001	-0.06999992	-0.06999965	-0.07	-0.06999965	-0.07	-0.06999992	0.5571498	-6.514915E-09	
0.078	-0.06999992	-0.06999965	-0.07	-0.06999965	-0.07	-0.06999992	0.5569313	-6.782659E-09	
0.079	-0.06999992	-0.06999964	-0.07	-0.06999964	-0.07	-0.06999992	0.5567167	-7.050414E-09	
0.08000001	-0.06999992	-0.06999964	-0.07	-0.06999964	-0.07	-0.06999992	0.5565062	-7.32399E-09	
0.081	-0.06999992	-0.06999962	-0.07	-0.06999962	-0.07	-0.06999992	0.5562997	-7.600477E-09	
0.082	-0.06999992	-0.06999962	-0.07	-0.06999962	-0.07	-0.06999992	0.5560974	-7.879874E-09	
0.083	-0.06999991	-0.06999961	-0.07	-0.06999961	-0.07	-0.06999991	0.5558994	-8.060328E-09	
0.08400001	-0.06999991	-0.06999961	-0.07	-0.06999961	-0.07	-0.06999991	0.5557057	-8.191296E-09	
0.085	-0.06999991	-0.06999959	-0.07	-0.06999959	-0.07	-0.06999991	0.5555162	-8.301891E-09	
0.086	-0.06999991	-0.06999959	-0.07	-0.06999959	-0.07	-0.06999991	0.555331	-8.400844E-09	
0.087	-0.0699999	-0.06999958	-0.07	-0.06999958	-0.07	-0.0699999	0.5551502	-8.496886E-09	
0.08800001	-0.0699999	-0.06999958	-0.07	-0.06999958	-0.07	-0.0699999	0.5549738	-8.697703E-09	
0.089	-0.0699999	-0.06999957	-0.07	-0.06999957	-0.07	-0.0699999	0.5548018	-8.939264E-09	
0.09	-0.0699999	-0.06999957	-0.07	-0.06999957	-0.07	-0.0699999	0.5546343	-9.090605E-09	
0.09100001	-0.0699999	-0.06999955	-0.07	-0.06999955	-0.07	-0.0699999	0.5544712	-9.308883E-09	
