Time	Position	Length2	2	
0.146	-0.2883295	5.382014	0	
0.147	-0.2855159	5.379249	0	
0.148	-0.2826852	5.376468	0	
0.149	-0.2798375	5.37367	0	
0.15	-0.2769728	5.370855	0	
0.151	-0.2740912	5.368024	0	
0.152	-0.2711926	5.365176	0	
0.153	-0.2682771	5.362313	0	
0.154	-0.2653448	5.359432	0	
0.155	-0.2623957	5.356535	0	
0.156	-0.2594298	5.353621	0	
0.157	-0.2564471	5.350691	0	
0.158	-0.2534477	5.347745	0	
0.159	-0.2504317	5.344782	0	
0.16	-0.2473991	5.341803	0	
0.161	-0.2443498	5.338808	0	
0.162	-0.241284	5.335796	0	
0.163	-0.2382017	5.332768	0	
0.164	-0.2351029	5.329725	0	
0.165	-0.2319876	5.326666	0	
0.166	-0.228856	5.32359	0	
0.167	-0.225708	5.320498	0	
0.168	-0.2225437	5.31739	0	
0.169	-0.2193631	5.314267	0	
0.17	-0.2161662	5.311126	0	
0.171	-0.2129532	5.307971	0	
0.172	-0.2097239	5.304801	0	
0.173	-0.2064786	5.301613	0	
0.174	-0.2032171	5.29841	0	
0.175	-0.1999396	5.295192	0	
0.176	-0.1966461	5.291958	0	
0.177	-0.1933367	5.288708	0	
0.178	-0.1900112	5.285443	0	
0.179	-0.18667	5.282163	0	
0.18	-0.1833128	5.278866	0	
0.181	-0.1799399	5.275554	0	
0.182	-0.1765511	5.272227	0	
0.183	-0.1731467	5.268885	0	
0.184	-0.1697266	5.265526	0	
0.185	-0.1662908	5.262154	0	
0.186	-0.1628394	5.258766	0	
0.187	-0.1593725	5.255362	0	
0.188	-0.15589	5.251944	0	
0.189	-0.1523921	5.248509	0	
0.19	-0.1488787	5.24506	0	
0.191	-0.1453499	5.241597	0	
0.192	-0.1418058	5.238118	0	
0.193	-0.1382464	5.234624	0	
0.194	-0.1346716	5.231116	0	
0.195	-0.1310817	5.227592	0	
0.196	-0.1274766	5.224054	0	
0.197	-0.1238563	5.220501	0	
0.198	-0.1202209	5.216933	0	
0.199	-0.1165705	5.21335	0	
0.2	-0.1129051	5.209753	0	
0.201	-0.1092247	5.206141	0	
0.202	-0.1055293	5.202515	0	
0.203	-0.1018191	5.198874	0	
0.204	-0.09809402	5.195219	0	
0.205	-0.09435415	5.191549	0	
0.206	-0.09059952	5.187864	0	
0.207	-0.08683018	5.184166	0	
0.208	-0.08304618	5.180453	0	
0.209	-0.07924756	5.176726	0	
0.21	-0.07543435	5.172985	0	
0.211	-0.07160661	5.16923	0	
0.212	-0.06776437	5.16546	0	
0.213	-0.06390769	5.161677	0	
0.214	-0.06003661	5.157879	0	
0.215	-0.05615117	5.154068	0	
0.216	-0.05225142	5.150242	0	
0.217	-0.04833741	5.146404	0	
0.218	-0.04440917	5.14255	0	
0.219	-0.04046675	5.138683	0	
0.22	-0.0365102	5.134802	0	
0.221	-0.03253956	5.130908	0	
0.222	-0.02855488	5.127	0	
0.223	-0.02455621	5.123078	0	
0.224	-0.02054358	5.119143	0	
0.225	-0.01651706	5.115194	0	
0.226	-0.01247667	5.111231	0	
0.227	-0.008422469	5.107256	0	
0.228	-0.004354503	5.103268	0	
0.229	-0.0002728165	5.099265	0	
0.23	0.003822544	5.09525	0	
0.231	0.007931531	5.09122	0	
0.232	0.0120541	5.087178	0	
0.233	0.0161902	5.083123	0	
0.234	0.02033979	5.079055	0	
0.235	0.02450282	5.074973	0	
0.236	0.02867925	5.070879	0	
0.237	0.03286902	5.066772	0	
0.238	0.03707209	5.062652	0	
0.239	0.04128841	5.058518	0	
0.24	0.04551794	5.054373	0	
0.241	0.04976062	5.050214	0	
0.242	0.05401642	5.046042	0	
0.243	0.05828528	5.041859	0	
0.244	0.06256715	5.037662	0	
0.245	0.06686199	5.033453	0	
0.246	0.07116974	5.029231	0	
0.247	0.07549037	5.024997	0	
0.248	0.07982382	5.020751	0	
0.249	0.08417004	5.016492	0	
0.25	0.088529	5.01222	0	
0.251	0.09290063	5.007936	0	
0.252	0.09728488	5.003641	0	
0.253	0.1016817	4.999333	0	
0.254	0.1060911	4.995013	0	
0.255	0.1105129	4.990681	0	
0.256	0.1149472	4.986337	0	
0.257	0.1193939	4.981981	0	
0.258	0.1238529	4.977613	0	
0.259	0.1283242	4.973233	0	
0.26	0.1328077	4.968842	0	
0.261	0.1373035	4.964437	0	
0.262	0.1418113	4.960022	0	
0.263	0.1463313	4.955596	0	
0.264	0.1508633	4.951157	0	
0.265	0.1554072	4.946707	0	
0.266	0.1599631	4.942245	0	
0.267	0.1645309	4.937772	0	
0.268	0.1691106	4.933287	0	
0.269	0.173702	4.928792	0	
0.27	0.1783052	4.924284	0	
0.271	0.1829201	4.919766	0	
0.272	0.1875466	4.915236	0	
0.273	0.1921847	4.910696	0	
0.274	0.1968343	4.906143	0	
0.275	0.2014954	4.90158	0	
0.276	0.206168	4.897007	0	
0.277	0.2108519	4.892422	0	
0.278	0.2155472	4.887825	0	
0.279	0.2202538	4.883218	0	
0.28	0.2249715	4.878601	0	
0.281	0.2297005	4.873972	0	
0.282	0.2344407	4.869334	0	
0.283	0.2391918	4.864684	0	
0.284	0.2439541	4.860023	0	
0.285	0.2487273	4.855353	0	
0.286	0.2535114	4.850672	0	
0.287	0.2583064	4.84598	0	
0.288	0.2631122	4.841278	0	
0.289	0.2679288	4.836565	0	
0.29	0.2727562	4.831842	0	
0.291	0.2775941	4.827109	0	
0.292	0.2824427	4.822366	0	
0.293	0.2873019	4.817613	0	
0.294	0.2921716	4.81285	0	
0.295	0.2970517	4.808076	0	
0.296	0.3019423	4.803293	0	
0.297	0.3068432	4.798499	0	
0.298	0.3117544	4.793697	0	
0.299	0.3166759	4.788884	0	
0.3	0.3216075	4.78406	0	
0.301	0.3265494	4.779228	0	
0.302	0.3315012	4.774386	0	
0.303	0.3364632	4.769535	0	
0.304	0.3414351	4.764674	0	
0.305	0.346417	4.759803	0	
0.306	0.3514087	4.754923	0	
0.307	0.3564103	4.750032	0	
0.308	0.3614216	4.745134	0	
0.309	0.3664427	4.740226	0	
0.31	0.3714735	4.735309	0	
0.311	0.3765139	4.730382	0	
0.312	0.3815638	4.725447	0	
0.313	0.3866233	4.720502	0	
0.314	0.3916922	4.715549	0	
0.315	0.3967705	4.710586	0	
0.316	0.4018582	4.705615	0	
0.317	0.4069552	4.700634	0	
0.318	0.4120614	4.695645	0	
0.319	0.4171768	4.690647	0	
0.32	0.4223013	4.68564	0	
0.321	0.427435	4.680625	0	
0.322	0.4325776	4.675602	0	
0.323	0.4377292	4.67057	0	
0.324	0.4428898	4.66553	0	
0.325	0.4480592	4.66048	0	
0.326	0.4532375	4.655423	0	
0.327	0.4584245	4.650357	0	
0.328	0.4636202	4.645284	0	
0.329	0.4688246	4.640201	0	
0.33	0.4740375	4.63511	0	
0.331	0.479259	4.630013	0	
0.332	0.4844891	4.624907	0	
0.333	0.4897275	4.619792	0	
0.334	0.4949743	4.61467	0	
0.335	0.5002295	4.60954	0	
0.336	0.5054929	4.604402	0	
0.337	0.5107645	4.599257	0	
0.338	0.5160443	4.594103	0	
0.339	0.5213322	4.588942	0	
0.34	0.5266282	4.583774	0	
0.341	0.5319322	4.578598	0	
0.342	0.5372441	4.573415	0	
0.343	0.5425639	4.568223	0	
0.344	0.5478916	4.563025	0	
0.345	0.553227	4.55782	0	
0.346	0.5585701	4.552608	0	
0.347	0.563921	4.547387	0	
0.348	0.5692794	4.542161	0	
0.349	0.5746455	4.536926	0	
0.35	0.580019	4.531685	0	
0.351	0.5854	4.526437	0	
0.352	0.5907884	4.521182	0	
0.353	0.5961841	4.51592	0	
0.354	0.6015871	4.510652	0	
0.355	0.6069973	4.505377	0	
0.356	0.6124147	4.500094	0	
0.357	0.6178392	4.494805	0	
0.358	0.6232708	4.48951	0	
0.359	0.6287093	4.484209	0	
0.36	0.6341549	4.478901	0	
0.361	0.6396073	4.473586	0	
0.362	0.6450666	4.468266	0	
0.363	0.6505327	4.462938	0	
0.364	0.6560056	4.457604	0	
0.365	0.6614851	4.452264	0	
0.366	0.6669712	4.446919	0	
0.367	0.6724639	4.441567	0	
0.368	0.6779631	4.43621	0	
0.369	0.6834687	4.430847	0	
0.37	0.6889808	4.425477	0	
0.371	0.6944991	4.420101	0	
0.372	0.7000238	4.41472	0	
0.373	0.7055547	4.409334	0	
0.374	0.7110918	4.403941	0	
0.375	0.716635	4.398542	0	
0.376	0.7221844	4.393139	0	
0.377	0.7277396	4.387729	0	
0.378	0.7333009	4.382315	0	
0.379	0.738868	4.376895	0	
0.38	0.744441	4.371469	0	
0.381	0.7500197	4.36604	0	
0.382	0.7556043	4.360603	0	
0.383	0.7611945	4.355162	0	
0.384	0.7667903	4.349716	0	
0.385	0.7723916	4.344265	0	
0.386	0.7779985	4.338809	0	
0.387	0.7836108	4.333348	0	
0.388	0.7892286	4.327883	0	
0.389	0.7948516	4.322412	0	
0.39	0.8004799	4.316936	0	
0.391	0.8061135	4.311456	0	
0.392	0.8117523	4.305971	0	
0.393	0.8173962	4.300482	0	
0.394	0.8230451	4.294989	0	
0.395	0.828699	4.28949	0	
0.396	0.8343579	4.283988	0	
0.397	0.8400216	4.278481	0	
0.398	0.8456902	4.27297	0	
0.399	0.8513636	4.267454	0	
0.4	0.8570417	4.261934	0	
0.401	0.8627245	4.256411	0	
0.402	0.8684119	4.250883	0	
0.403	0.8741038	4.24535	0	
0.404	0.8798003	4.239814	0	
0.405	0.8855012	4.234274	0	
0.406	0.8912065	4.228731	0	
0.407	0.8969161	4.223184	0	
0.408	0.90263	4.217633	0	
0.409	0.9083481	4.212078	0	
0.41	0.9140704	4.20652	0	
0.411	0.9197968	4.200958	0	
0.412	0.9255272	4.195392	0	
0.413	0.9312617	4.189823	0	
0.414	0.937	4.184251	0	
0.415	0.9427423	4.178675	0	
0.416	0.9484884	4.173097	0	
