Time	2	Length	Position	
0	0	5	0	
0.001	0	5	0	
0.002	0	4.99999	1E-05	
0.003	0	4.99987	2.99956E-05	
0.004	0	4.99986	5.998918E-05	
0.005	0	4.999836	9.997952E-05	
0.006	0	4.999799	0.0001499665	
0.007	0	4.999749	0.0002099499	
0.008	0	4.999687	0.0002799293	
0.009000001	0	4.999614	0.0003599042	
0.01	0	4.999529	0.000449874	
0.011	0	4.999434	0.0005498379	
0.012	0	4.999327	0.0006597952	
0.013	0	4.99921	0.0007797448	
0.014	0	4.999082	0.0009096856	
0.015	0	4.998944	0.001049617	
0.016	0	4.998795	0.001199536	
0.017	0	4.998636	0.001359444	
0.018	0	4.998467	0.001529337	
0.019	0	4.998288	0.001709214	
0.02	0	4.998098	0.001899075	
0.021	0	4.997899	0.002098916	
0.022	0	4.99769	0.002308736	
0.023	0	4.99747	0.002528533	
0.024	0	4.997241	0.002758305	
0.025	0	4.997001	0.00299805	
0.026	0	4.996751	0.003247765	
0.027	0	4.996491	0.003507448	
0.028	0	4.996222	0.003777097	
0.029	0	4.995942	0.004056708	
0.03	0	4.995653	0.00434628	
0.031	0	4.995353	0.00464581	
0.032	0	4.995044	0.004955293	
0.033	0	4.994724	0.005274728	
0.034	0	4.994395	0.005604112	
0.035	0	4.994056	0.005943441	
0.036	0	4.993706	0.006292712	
0.037	0	4.993347	0.006651922	
0.038	0	4.992978	0.007021066	
0.039	0	4.992599	0.007400142	
0.04	0	4.99221	0.007789147	
0.041	0	4.991811	0.008188074	
0.042	0	4.991402	0.008596922	
0.043	0	4.990983	0.009015686	
0.044	0	4.990555	0.009444362	
0.045	0	4.990116	0.009882946	
0.046	0	4.989667	0.01033143	
0.047	0	4.989209	0.01078982	
0.048	0	4.988741	0.0112581	
0.049	0	4.988263	0.01173627	
0.05	0	4.987775	0.01222433	
0.051	0	4.987277	0.01272227	
0.052	0	4.986769	0.01323008	
0.053	0	4.986251	0.01374776	
0.054	0	4.985723	0.01427531	
0.055	0	4.985186	0.01481272	
0.056	0	4.984639	0.01535999	
0.057	0	4.984082	0.0159171	
0.058	0	4.983515	0.01648406	
0.059	0	4.982938	0.01706086	
0.06	0	4.982352	0.01764749	
0.061	0	4.981755	0.01824395	
0.062	0	4.981149	0.01885023	
0.063	0	4.980533	0.01946633	
0.064	0	4.979907	0.02009223	
0.06500001	0	4.979271	0.02072794	
0.066	0	4.978626	0.02137344	
0.067	0	4.97797	0.02202874	
0.068	0	4.977305	0.02269382	
0.06900001	0	4.97663	0.02336868	
0.07	0	4.975946	0.02405331	
0.071	0	4.975251	0.0247477	
0.072	0	4.974547	0.02545185	
0.07300001	0	4.973833	0.02616576	
0.074	0	4.97311	0.0268894	
0.075	0	4.972376	0.02762278	
0.07600001	0	4.971633	0.02836589	
0.07700001	0	4.970881	0.02911872	
0.078	0	4.970118	0.02988127	
0.079	0	4.969346	0.03065352	
0.08000001	0	4.968564	0.03143547	
0.081	0	4.967772	0.03222712	
0.082	0	4.96697	0.03302845	
0.083	0	4.96616	0.03383945	
0.08400001	0	4.965339	0.03466012	
0.085	0	4.964509	0.03549045	
0.086	0	4.963669	0.03633043	
0.087	0	4.962819	0.03718005	
0.08800001	0	4.96196	0.03803932	
0.089	0	4.961091	0.0389082	
0.09	0	4.960212	0.0397867	
0.09100001	0	4.959324	0.04067482	
0.09200001	0	4.958426	0.04157253	
0.093	0	4.957519	0.04247983	
0.094	0	4.956602	0.04339672	
0.09500001	0	4.955676	0.04432318	
0.096	0	4.95474	0.0452592	
0.097	0	4.953794	0.04620478	
0.098	0	4.952839	0.0471599	
0.09900001	0	4.951874	0.04812456	
0.1	0	4.9509	0.04909874	
0.101	0	4.949917	0.05008245	
0.102	0	4.948924	0.05107565	
0.103	0	4.947921	0.05207836	
0.104	0	4.946908	0.05309055	
0.105	0	4.945887	0.05411222	
0.106	0	4.944856	0.05514336	
0.107	0	4.943815	0.05618395	
0.108	0	4.942765	0.05723399	
0.109	0	4.941706	0.05829347	
0.11	0	4.940637	0.05936237	
0.111	0	4.939559	0.06044069	
0.112	0	4.938471	0.0615284	
0.113	0	4.937374	0.06262552	
0.114	0	4.936267	0.06373201	
0.115	0	4.935151	0.06484789	
0.116	0	4.934026	0.06597312	
0.117	0	4.932891	0.0671077	
0.118	0	4.931747	0.06825162	
0.119	0	4.930594	0.06940486	
0.12	0	4.929431	0.07056742	
0.121	0	4.92826	0.07173929	
0.122	0	4.927079	0.07292044	
0.123	0	4.925888	0.07411088	
0.124	0	4.924688	0.07531059	
0.125	0	4.92348	0.07651955	
0.126	0	4.922261	0.07773776	
0.127	0	4.921034	0.07896519	
0.128	0	4.919797	0.08020186	
0.129	0	4.918551	0.08144773	
0.13	0	4.917296	0.08270279	
0.131	0	4.916032	0.08396704	
0.132	0	4.914759	0.08524047	
