Time	2	Length2	Position	
0	0	5.59017	-0.5	
0.001	0	5.59017	-0.5	
0.002	0	5.590151	-0.4999794	
0.003	0	5.5899	-0.4999383	
0.004	0	5.58988	-0.4998766	
0.005	0	5.589834	-0.4997945	
0.006	0	5.589759	-0.4996918	
0.007	0	5.589659	-0.4995686	
0.008	0	5.589535	-0.4994249	
0.009000001	0	5.589387	-0.4992607	
0.01	0	5.589217	-0.4990759	
0.011	0	5.589024	-0.4988707	
0.012	0	5.588809	-0.498645	
0.013	0	5.588572	-0.4983989	
0.014	0	5.588314	-0.4981323	
0.015	0	5.588036	-0.4978453	
0.016	0	5.587736	-0.4975378	
0.017	0	5.587416	-0.49721	
0.018	0	5.587075	-0.4968617	
0.019	0	5.586714	-0.4964931	
0.02	0	5.586332	-0.4961041	
0.021	0	5.58593	-0.4956948	
0.022	0	5.585508	-0.4952651	
0.023	0	5.585066	-0.4948151	
0.024	0	5.584604	-0.4943448	
0.025	0	5.584122	-0.4938542	
0.026	0	5.58362	-0.4933434	
0.027	0	5.583097	-0.4928122	
0.028	0	5.582554	-0.4922608	
0.029	0	5.581992	-0.4916892	
0.03	0	5.58141	-0.4910973	
0.031	0	5.580808	-0.4904853	
0.032	0	5.580185	-0.4898531	
0.033	0	5.579544	-0.4892007	
0.034	0	5.578882	-0.4885281	
0.035	0	5.5782	-0.4878353	
0.036	0	5.577499	-0.4871225	
0.037	0	5.576778	-0.4863895	
0.038	0	5.576037	-0.4856365	
0.039	0	5.575277	-0.4848634	
0.04	0	5.574496	-0.4840702	
0.041	0	5.573696	-0.483257	
0.042	0	5.572876	-0.4824238	
0.043	0	5.572037	-0.4815705	
0.044	0	5.571178	-0.4806973	
0.045	0	5.570299	-0.4798041	
0.046	0	5.569401	-0.478891	
0.047	0	5.568483	-0.4779579	
0.048	0	5.567545	-0.4770049	
0.049	0	5.566588	-0.476032	
0.05	0	5.565611	-0.4750392	
0.051	0	5.564616	-0.4740266	
0.052	0	5.5636	-0.4729941	
0.053	0	5.562565	-0.4719418	
0.054	0	5.56151	-0.4708697	
0.055	0	5.560436	-0.4697779	
0.056	0	5.559342	-0.4686663	
0.057	0	5.558229	-0.4675349	
0.058	0	5.557097	-0.4663838	
0.059	0	5.555945	-0.465213	
0.06	0	5.554774	-0.4640226	
0.061	0	5.553584	-0.4628125	
0.062	0	5.552374	-0.4615827	
0.063	0	5.551145	-0.4603333	
0.064	0	5.549897	-0.4590644	
0.06500001	0	5.54863	-0.4577759	
0.066	0	5.547343	-0.4564678	
0.067	0	5.546037	-0.4551402	
0.068	0	5.544712	-0.4537931	
0.06900001	0	5.543367	-0.4524265	
0.07	0	5.542004	-0.4510404	
0.071	0	5.540622	-0.449635	
0.072	0	5.53922	-0.4482101	
0.07300001	0	5.5378	-0.4467658	
0.074	0	5.53636	-0.4453022	
0.075	0	5.534901	-0.4438192	
0.07600001	0	5.533424	-0.4423169	
0.07700001	0	5.531928	-0.4407952	
0.078	0	5.530411	-0.4392544	
0.079	0	5.528877	-0.4376943	
0.08000001	0	5.527324	-0.4361149	
0.081	0	5.525752	-0.4345164	
0.082	0	5.52416	-0.4328986	
0.083	0	5.522551	-0.4312618	
0.08400001	0	5.520922	-0.4296058	
0.085	0	5.519275	-0.4279307	
0.086	0	5.517608	-0.4262365	
0.087	0	5.515924	-0.4245233	
0.08800001	0	5.51422	-0.4227911	
0.089	0	5.512498	-0.4210398	
0.09	0	5.510757	-0.4192697	
0.09100001	0	5.508997	-0.4174805	
0.09200001	0	5.507219	-0.4156725	
0.093	0	5.505423	-0.4138455	
0.094	0	5.503607	-0.4119997	
0.09500001	0	5.501774	-0.4101351	
0.096	0	5.499922	-0.4082516	
0.097	0	5.498051	-0.4063494	
0.098	0	5.496162	-0.4044284	
0.09900001	0	5.494255	-0.4024887	
0.1	0	5.492329	-0.4005303	
0.101	0	5.490385	-0.3985532	
0.102	0	5.488422	-0.3965575	
0.103	0	5.486442	-0.3945431	
0.104	0	5.484443	-0.3925102	
0.105	0	5.482425	-0.3904587	
0.106	0	5.48039	-0.3883887	
0.107	0	5.478337	-0.3863002	
