Time	2	Length2	Position	
0.167	0	5.366594	-0.3665951	
0.168	0	5.365027	-0.3650285	
0.169	0	5.363452	-0.3634534	
0.17	0	5.361869	-0.3618696	
0.171	0	5.360276	-0.3602774	
0.172	0	5.358675	-0.3586766	
0.173	0	5.357066	-0.3570673	
0.174	0	5.355449	-0.3554496	
0.175	0	5.353822	-0.3538234	
0.176	0	5.352188	-0.3521887	
0.177	0	5.350544	-0.3505455	
0.178	0	5.348893	-0.3488939	
0.179	0	5.347233	-0.3472339	
0.18	0	5.345564	-0.3455655	
0.181	0	5.343888	-0.3438886	
0.182	0	5.342202	-0.3422034	
0.183	0	5.340509	-0.3405098	
0.184	0	5.338807	-0.3388078	
0.185	0	5.337097	-0.3370975	
0.186	0	5.335378	-0.3353788	
0.187	0	5.333651	-0.3336518	
0.188	0	5.331915	-0.3319165	
0.189	0	5.330172	-0.3301728	
0.19	0	5.32842	-0.3284209	
0.191	0	5.32666	-0.3266608	
0.192	0	5.324892	-0.3248923	
0.193	0	5.323115	-0.3231156	
0.194	0	5.32133	-0.3213307	
0.195	0	5.319537	-0.3195375	
0.196	0	5.317735	-0.3177361	
0.197	0	5.315926	-0.3159266	
0.198	0	5.314108	-0.3141088	
0.199	0	5.312282	-0.3122829	
0.2	0	5.310448	-0.3104488	
0.201	0	5.308606	-0.3086065	
0.202	0	5.306755	-0.3067562	
0.203	0	5.304897	-0.3048977	
0.204	0	5.30303	-0.3030311	
0.205	0	5.301156	-0.3011564	
0.206	0	5.299273	-0.2992736	
0.207	0	5.297382	-0.2973828	
0.208	0	5.295483	-0.2954839	
0.209	0	5.293576	-0.293577	
0.21	0	5.291661	-0.291662	
0.211	0	5.289738	-0.289739	
0.212	0	5.287807	-0.2878081	
0.213	0	5.285868	-0.2858691	
0.214	0	5.283921	-0.2839222	
0.215	0	5.281966	-0.2819673	
0.216	0	5.280004	-0.2800044	
0.217	0	5.278033	-0.2780337	
0.218	0	5.276054	-0.276055	
0.219	0	5.274067	-0.2740684	
0.22	0	5.272073	-0.272074	
0.221	0	5.270071	-0.2700716	
0.222	0	5.268061	-0.2680614	
0.223	0	5.266042	-0.2660433	
0.224	0	5.264017	-0.2640175	
0.225	0	5.261983	-0.2619838	
0.226	0	5.259941	-0.2599422	
0.227	0	5.257892	-0.2578929	
0.228	0	5.255835	-0.2558359	
0.229	0	5.25377	-0.253771	
0.23	0	5.251698	-0.2516984	
0.231	0	5.249617	-0.2496181	
0.232	0	5.247529	-0.24753	
0.233	0	5.245433	-0.2454343	
0.234	0	5.24333	-0.2433308	
0.235	0	5.241219	-0.2412197	
0.236	0	5.2391	-0.2391009	
0.237	0	5.236974	-0.2369745	
0.238	0	5.234839	-0.2348404	
0.239	0	5.232698	-0.2326988	
0.24	0	5.230548	-0.2305495	
0.241	0	5.228392	-0.2283926	
0.242	0	5.226227	-0.2262281	
0.243	0	5.224055	-0.2240561	
0.244	0	5.221876	-0.2218765	
0.245	0	5.219688	-0.2196894	
0.246	0	5.217494	-0.2174948	
0.247	0	5.215292	-0.2152927	
0.248	0	5.213082	-0.2130831	
0.249	0	5.210865	-0.210866	
0.25	0	5.208641	-0.2086415	
0.251	0	5.206409	-0.2064095	
0.252	0	5.204169	-0.2041701	
0.253	0	5.201922	-0.2019233	
0.254	0	5.199668	-0.199669	
0.255	0	5.197406	-0.1974074	
0.256	0	5.195138	-0.1951384	
0.257	0	5.192861	-0.1928621	
0.258	0	5.190578	-0.1905784	
0.259	0	5.188286	-0.1882874	
0.26	0	5.185988	-0.1859891	
0.261	0	5.183682	-0.1836835	
0.262	0	5.18137	-0.1813706	
0.263	0	5.179049	-0.1790505	
0.264	0	5.176722	-0.1767231	
0.265	0	5.174387	-0.1743885	
0.266	0	5.172046	-0.1720466	
0.267	0	5.169697	-0.1696976	
0.268	0	5.16734	-0.1673414	
0.269	0	5.164977	-0.164978	
0.27	0	5.162606	-0.1626074	
0.271	0	5.160229	-0.1602297	
0.272	0	5.157844	-0.1578449	
0.273	0	5.155452	-0.1554529	
0.274	0	5.153053	-0.1530539	
0.275	0	5.150647	-0.1506478	
0.276	0	5.148233	-0.1482346	
0.277	0	5.145813	-0.1458143	
0.278	0	5.143386	-0.1433871	
0.279	0	5.140952	-0.1409528	
0.28	0	5.138511	-0.1385115	
0.281	0	5.136062	-0.1360633	
0.282	0	5.133607	-0.133608	
0.283	0	5.131145	-0.1311458	
0.284	0	5.128676	-0.1286767	
0.285	0	5.1262	-0.1262007	
0.286	0	5.123717	-0.1237177	
0.287	0	5.121227	-0.1212279	
0.288	0	5.11873	-0.1187311	
0.289	0	5.116227	-0.1162276	
0.29	0	5.113716	-0.1137171	
0.291	0	5.111199	-0.1111999	
0.292	0	5.108675	-0.1086758	
0.293	0	5.106144	-0.106145	
0.294	0	5.103606	-0.1036073	
0.295	0	5.101062	-0.1010629	
0.296	0	5.098511	-0.09851177	
0.297	0	5.095953	-0.09595389	
0.298	0	5.093389	-0.0933893	
0.299	0	5.090817	-0.090818	
0.3	0	5.088239	-0.08824003	
0.301	0	5.085654	-0.08565538	
0.302	0	5.083063	-0.08306409	
0.303	0	5.080465	-0.08046616	
0.304	0	5.077861	-0.07786161	
0.305	0	5.07525	-0.07525047	
0.306	0	5.072632	-0.07263274	
0.307	0	5.070007	-0.07000843	
0.308	0	5.067377	-0.06737758	
0.309	0	5.064739	-0.0647402	
0.31	0	5.062095	-0.06209628	
0.311	0	5.059445	-0.05944587	
0.312	0	5.056788	-0.05678897	
0.313	0	5.054125	-0.0541256	
0.314	0	5.051455	-0.05145578	
0.315	0	5.048779	-0.04877952	
0.316	0	5.046096	-0.04609684	
0.317	0	5.043407	-0.04340776	
0.318	0	5.040711	-0.04071229	
0.319	0	5.03801	-0.03801045	
0.32	0	5.035301	-0.03530225	
0.321	0	5.032587	-0.03258772	
0.322	0	5.029866	-0.02986686	
0.323	0	5.027139	-0.02713971	
0.324	0	5.024405	-0.02440627	
0.325	0	5.021666	-0.02166655	
0.326	0	5.018919	-0.01892058	
0.327	0	5.016168	-0.01616838	
0.328	0	5.013409	-0.01340996	
0.329	0	5.010644	-0.01064533	
0.33	0	5.007874	-0.007874518	
0.331	0	5.005096	-0.005097536	
0.332	0	5.002314	-0.002314403	
0.333	0	4.999524	0.0004748648	
0.334	0	4.996729	0.003270251	
0.335	0	4.993927	0.006071739	
0.336	0	4.99112	0.00887931	
0.337	0	4.988306	0.01169295	
0.338	0	4.985487	0.01451264	
0.339	0	4.982661	0.01733836	
0.34	0	4.979829	0.02017009	
0.341	0	4.976991	0.02300783	
0.342	0	4.974147	0.02585155	
0.343	0	4.971298	0.02870123	
0.344	0	4.968442	0.03155685	
0.345	0	4.96558	0.03441841	
0.346	0	4.962713	0.03728588	
0.347	0	4.95984	0.04015925	
0.348	0	4.956961	0.04303849	
0.349	0	4.954075	0.04592359	
0.35	0	4.951184	0.04881454	
0.351	0	4.948288	0.05171131	
0.352	0	4.945385	0.0546139	
0.353	0	4.942477	0.05752227	
0.354	0	4.939563	0.06043642	
0.355	0	4.936643	0.06335632	
0.356	0	4.933717	0.06628196	
0.357	0	4.930786	0.06921332	
0.358	0	4.927849	0.07215039	
0.359	0	4.924906	0.07509315	
0.36	0	4.921957	0.07804157	
0.361	0	4.919003	0.08099564	
0.362	0	4.916044	0.08395535	
0.363	0	4.913078	0.08692067	
0.364	0	4.910108	0.08989159	
0.365	0	4.907131	0.09286809	
0.366	0	4.904149	0.09585015	
0.367	0	4.901161	0.09883776	
0.368	0	4.898168	0.1018309	
0.369	0	4.895169	0.1048295	
0.37	0	4.892165	0.1078337	
0.371	0	4.889156	0.1108433	
0.372	0	4.886141	0.1138584	
0.373	0	4.88312	0.1168789	
0.374	0	4.880094	0.1199048	
0.375	0	4.877063	0.1229362	
0.376	0	4.874026	0.1259729	
0.377	0	4.870984	0.129015	
0.378	0	4.867937	0.1320624	
0.379	0	4.864884	0.1351152	
0.38	0	4.861826	0.1381733	
0.381	0	4.858762	0.1412366	
0.382	0	4.855694	0.1443053	
0.383	0	4.85262	0.1473792	
0.384	0	4.849541	0.1504584	
0.385	0	4.846456	0.1535428	
0.386	0	4.843367	0.1566324	
0.387	0	4.840272	0.1597271	
0.388	0	4.837172	0.1628271	
0.389	0	4.834067	0.1659322	
0.39	0	4.830956	0.1690424	
0.391	0	4.827841	0.1721578	
0.392	0	4.824721	0.1752782	
0.393	0	4.821595	0.1784038	
0.394	0	4.818465	0.1815344	
0.395	0	4.815329	0.18467	
0.396	0	4.812188	0.1878107	
0.397	0	4.809043	0.1909563	
0.398	0	4.805892	0.194107	
0.399	0	4.802736	0.1972626	
0.4	0	4.799576	0.2004232	
0.401	0	4.796411	0.2035887	
0.402	0	4.79324	0.2067591	
0.403	0	4.790065	0.2099345	
0.404	0	4.786884	0.2131147	
0.405	0	4.7837	0.2162997	
0.406	0	4.780509	0.2194896	
0.407	0	4.777315	0.2226844	
0.408	0	4.774115	0.2258839	
0.409	0	4.770911	0.2290882	
0.41	0	4.767702	0.2322973	
0.411	0	4.764488	0.2355112	
0.412	0	4.761269	0.2387298	
0.413	0	4.758046	0.241953	
0.414	0	4.754818	0.245181	
0.415	0	4.751585	0.2484137	
0.416	0	4.748348	0.251651	
0.417	0	4.745106	0.2548929	
0.418	0	4.741859	0.2581395	
0.419	0	4.738608	0.2613907	
0.42	0	4.735353	0.2646465	
0.421	0	4.732092	0.2679068	
0.422	0	4.728827	0.2711717	
0.423	0	4.725558	0.2744411	
0.424	0	4.722284	0.277715	
0.425	0	4.719006	0.2809934	
0.426	0	4.715723	0.2842763	
0.427	0	4.712435	0.2875636	
0.428	0	4.709144	0.2908554	
0.429	0	4.705847	0.2941516	
0.43	0	4.702547	0.2974522	
0.431	0	4.699242	0.3007571	
0.432	0	4.695932	0.3040665	
0.433	0	4.692619	0.3073801	
0.434	0	4.689301	0.3106981	
0.435	0	4.685978	0.3140204	
0.436	0	4.682652	0.317347	
0.437	0	4.679321	0.3206779	
0.438	0	4.675986	0.324013	
0.439	0	4.672647	0.3273523	
0.44	0	4.669303	0.3306958	
0.441	0	4.665956	0.3340435	
0.442	0	4.662603	0.3373954	
0.443	0	4.659247	0.3407515	
0.444	0	4.655888	0.3441117	
0.445	0	4.652523	0.3474759	
0.446	0	4.649155	0.3508444	
0.447	0	4.645782	0.3542168	
0.448	0	4.642406	0.3575934	
0.449	0	4.639025	0.360974	
0.45	0	4.635641	0.3643586	
0.451	0	4.632252	0.3677472	
0.452	0	4.62886	0.3711398	
0.453	0	4.625463	0.3745363	
0.454	0	4.622062	0.3779368	
0.455	0	4.618658	0.3813413	
0.456	0	4.61525	0.3847496	
0.457	0	4.611837	0.3881618	
0.458	0	4.608421	0.3915779	
0.459	0	4.605001	0.3949979	
0.46	0	4.601577	0.3984216	
0.461	0	4.59815	0.4018492	
0.462	0	4.594718	0.4052806	
0.463	0	4.591283	0.4087158	
0.464	0	4.587844	0.4121547	
0.465	0	4.584402	0.4155973	
0.466	0	4.580956	0.4190437	
0.467	0	4.577505	0.4224938	
0.468	0	4.574051	0.4259475	
0.469	0	4.570594	0.429405	
0.47	0	4.567133	0.432866	
0.471	0	4.563668	0.4363307	
0.472	0	4.5602	0.439799	
0.473	0	4.556728	0.4432708	
0.474	0	4.553253	0.4467463	
0.475	0	4.549774	0.4502252	
0.476	0	4.546291	0.4537077	
0.477	0	4.542805	0.4571937	
0.478	0	4.539316	0.4606832	
0.479	0	4.535823	0.4641762	
0.48	0	4.532327	0.4676726	
0.481	0	4.528827	0.4711724	
0.482	0	4.525323	0.4746757	
0.483	0	4.521817	0.4781823	
0.484	0	4.518307	0.4816924	
0.485	0	4.514793	0.4852057	
0.486	0	4.511277	0.4887224	
0.487	0	4.507757	0.4922425	
0.488	0	4.504233	0.4957658	
0.489	0	4.500707	0.4992924	
0.49	0	4.497177	0.5028222	
0.491	0	4.493644	0.5063553	
0.492	0	4.490108	0.5098917	
0.493	0	4.486568	0.5134312	
0.494	0	4.483025	0.5169739	
0.495	0	4.479479	0.5205198	
0.496	0	4.47593	0.5240688	
0.497	0	4.472378	0.5276209	
0.498	0	4.468823	0.5311761	
0.499	0	4.465265	0.5347344	
0.5	0	4.461703	0.5382958	
0.501	0	4.458139	0.5418602	
0.502	0	4.454571	0.5454277	
0.503	0	4.451001	0.5489981	
0.504	0	4.447428	0.5525715	
0.505	0	4.443851	0.5561479	
0.506	0	4.440272	0.5597273	
0.507	0	4.436689	0.5633096	
0.508	0	4.433104	0.5668948	
