Time	1FF	2FF	2Vm	1Vm	1Ie	2Ii	
0.288	0	0.4999999	0.04999999	-2.177775E-06	0	5E-09	
0.29	0	0.4999999	0.04999999	-1.74222E-06	0	5E-09	
0.292	0	0.4999999	0.04999999	-1.393776E-06	0	5E-09	
0.294	0	0.4999999	0.04999999	-1.115021E-06	0	5E-09	
0.296	0	0.4999999	0.04999999	-8.920165E-07	0	5E-09	
0.298	0	0.4999999	0.04999999	-7.136132E-07	0	5E-09	
0.3	0	0.4999999	0.04999999	-5.708906E-07	2E-09	5E-09	
0.302	0.05999314	0.4999999	0.04999999	0.003999543	2E-09	5E-09	
0.304	0.1079945	0.4880013	0.04880013	0.007199634	2E-09	5E-09	
0.306	0.1463956	0.4688022	0.04688022	0.009759707	2E-09	5E-09	
0.308	0.1771165	0.4457626	0.04457626	0.01180777	2E-09	5E-09	
0.31	0.2016932	0.4211868	0.04211868	0.01344621	2E-09	5E-09	
0.312	0.2213545	0.3966108	0.03966108	0.01475697	2E-09	5E-09	
0.314	0.2370836	0.3730177	0.03730177	0.01580558	2E-09	5E-09	
0.316	0.2496669	0.3509974	0.03509974	0.01664446	2E-09	5E-09	
0.318	0.2597335	0.3308645	0.03308646	0.01731557	2E-09	5E-09	
0.32	0.2677868	0.3127449	0.03127449	0.01785246	2E-09	5E-09	
0.322	0.2742295	0.2966386	0.02966386	0.01828196	2E-09	5E-09	
0.324	0.2793836	0.282465	0.0282465	0.01862557	2E-09	5E-09	
0.326	0.2835069	0.2700953	0.02700953	0.01890046	2E-09	5E-09	
0.328	0.2868055	0.2593749	0.02593748	0.01912037	2E-09	5E-09	
0.33	0.2894444	0.2501388	0.02501388	0.01929629	2E-09	5E-09	
0.332	0.2915555	0.2422222	0.02422222	0.01943703	2E-09	5E-09	
0.334	0.2932444	0.2354666	0.02354666	0.01954963	2E-09	5E-09	
0.336	0.2945955	0.2297244	0.02297244	0.0196397	2E-09	5E-09	
0.338	0.2956764	0.2248604	0.02248604	0.01971176	2E-09	5E-09	
0.34	0.2965411	0.2207531	0.02207531	0.01976941	2E-09	5E-09	
0.342	0.2972329	0.2172942	0.02172942	0.01981553	2E-09	5E-09	
0.344	0.2977863	0.2143888	0.02143888	0.01985242	2E-09	5E-09	
0.346	0.2982291	0.2119538	0.02119538	0.01988194	2E-09	5E-09	
0.348	0.2985833	0.2099172	0.02099172	0.01990555	2E-09	5E-09	
0.35	0.2988666	0.2082171	0.02082171	0.01992444	2E-09	5E-09	
0.352	0.2990933	0.2068004	0.02068004	0.01993955	2E-09	5E-09	
0.354	0.2992746	0.2056216	0.02056216	0.01995164	2E-09	5E-09	
0.356	0.2994197	0.2046424	0.02046424	0.01996131	2E-09	5E-09	
0.358	0.2995358	0.20383	0.020383	0.01996905	2E-09	5E-09	
0.36	0.2996286	0.2031568	0.02031568	0.01997524	2E-09	5E-09	
0.362	0.2997029	0.2025997	0.02025997	0.01998019	2E-09	5E-09	
0.364	0.2997623	0.2021392	0.02021392	0.01998415	2E-09	5E-09	
0.366	0.2998098	0.2017589	0.02017589	0.01998732	2E-09	5E-09	
0.368	0.2998479	0.2014452	0.02014452	0.01998986	2E-09	5E-09	
0.37	0.2998783	0.2011866	0.02011866	0.01999189	2E-09	5E-09	
0.372	0.2999026	0.2009736	0.02009736	0.01999351	2E-09	5E-09	
0.374	0.2999221	0.2007983	0.02007983	0.01999481	2E-09	5E-09	
0.376	0.2999377	0.2006543	0.02006542	0.01999585	2E-09	5E-09	
0.378	0.2999502	0.2005359	0.02005359	0.01999668	2E-09	5E-09	
0.38	0.2999601	0.2004386	0.02004386	0.01999734	2E-09	5E-09	
0.382	0.2999681	0.2003589	0.02003589	0.01999787	2E-09	5E-09	
0.384	0.2999744	0.2002935	0.02002935	0.0199983	2E-09	5E-09	
0.386	0.2999796	0.2002399	0.02002399	0.01999864	2E-09	5E-09	
0.388	0.2999837	0.200196	0.0200196	0.01999891	2E-09	5E-09	
0.39	0.2999869	0.2001601	0.02001601	0.01999913	2E-09	5E-09	
0.392	0.2999895	0.2001307	0.02001307	0.0199993	2E-09	5E-09	
0.394	0.2999916	0.2001066	0.02001066	0.01999944	2E-09	5E-09	
0.396	0.2999933	0.200087	0.0200087	0.01999955	2E-09	5E-09	
0.398	0.2999946	0.2000709	0.02000709	0.01999964	2E-09	5E-09	
0.4	0.2999957	0.2000578	0.02000578	0.01999971	0	5E-09	
0.402	0.2399966	0.2000471	0.02000471	0.01599977	0	5E-09	
0.404	0.1919972	0.2120384	0.02120384	0.01279982	0	5E-09	
0.406	0.1535978	0.2312312	0.02312312	0.01023985	0	5E-09	
0.408	0.1228782	0.2542654	0.02542654	0.008191882	0	5E-09	
0.41	0.09830258	0.2788367	0.02788367	0.006553506	0	5E-09	
0.412	0.07864207	0.3034089	0.03034089	0.005242805	0	5E-09	
0.414	0.06291366	0.3269987	0.03269987	0.004194244	0	5E-09	
0.416	0.05033093	0.3490162	0.03490162	0.003355395	0	5E-09	
0.418	0.04026474	0.3691468	0.03691468	0.002684316	0	5E-09	
0.42	0.03221179	0.3872645	0.03872645	0.002147453	0	5E-09	
0.422	0.02576943	0.4033692	0.04033692	0.001717962	0	5E-09	
0.424	0.02061554	0.4175415	0.04175415	0.00137437	0	5E-09	
0.426	0.01649244	0.4299101	0.04299101	0.001099496	0	5E-09	
0.428	0.01319395	0.4406296	0.04406296	0.0008795966	0	5E-09	
0.43	0.01055516	0.4498649	0.04498649	0.0007036772	0	5E-09	
0.432	0.008444127	0.4577808	0.04577808	0.0005629418	0	5E-09	
0.434	0.006755301	0.4645358	0.04645358	0.0004503534	0	5E-09	
0.436	0.005404241	0.4702776	0.04702776	0.0003602827	0	5E-09	
0.438	0.004323393	0.4751412	0.04751412	0.0002882262	0	5E-09	
0.44	0.003458714	0.4792483	0.04792483	0.0002305809	0	5E-09	
0.442	0.002766971	0.4827069	0.04827069	0.0001844647	0	5E-09	
0.444	0.002213577	0.4856121	0.04856121	0.0001475718	0	5E-09	
0.446	0.001770861	0.488047	0.0488047	0.0001180574	0	5E-09	
0.448	0.001416689	0.4900834	0.04900834	9.444595E-05	0	5E-09	
0.45	0.001133351	0.4917834	0.04917834	7.555676E-05	0	5E-09	
0.452	0.0009066811	0.4932001	0.04932	6.044541E-05	0	5E-09	
0.454	0.0007253449	0.4943787	0.04943787	4.835633E-05	0	5E-09	
0.456	0.0005802759	0.4953579	0.04953579	3.868506E-05	0	5E-09	
0.458	0.0004642207	0.4961703	0.04961703	3.094805E-05	0	5E-09	
0.46	0.0003713765	0.4968434	0.04968434	2.475844E-05	0	5E-09	
0.462	0.0002971012	0.4974004	0.04974004	1.980675E-05	0	5E-09	
0.464	0.000237681	0.4978609	0.04978609	1.58454E-05	0	5E-09	
0.466	0.0001901448	0.4982412	0.04982412	1.267632E-05	0	5E-09	
0.468	0.0001521158	0.4985549	0.04985549	1.014106E-05	0	5E-09	
0.47	0.0001216927	0.4988135	0.04988135	8.112844E-06	0	5E-09	
0.472	9.735412E-05	0.4990265	0.04990265	6.490275E-06	0	5E-09	
0.474	7.78833E-05	0.4992017	0.04992018	5.19222E-06	0	5E-09	
0.476	6.230664E-05	0.4993458	0.04993458	4.153776E-06	0	5E-09	
0.478	4.984531E-05	0.4994642	0.04994642	3.323021E-06	0	5E-09	
0.48	3.987625E-05	0.4995614	0.04995614	2.658417E-06	0	5E-09	
0.482	3.1901E-05	0.4996412	0.04996412	2.126733E-06	0	5E-09	
0.484	2.55208E-05	0.4997065	0.04997065	1.701387E-06	0	5E-09	
0.486	2.041664E-05	0.4997601	0.04997601	1.361109E-06	0	5E-09	
0.488	1.633331E-05	0.499804	0.0499804	1.088887E-06	0	5E-09	
0.49	1.306665E-05	0.4998399	0.04998399	8.711099E-07	0	5E-09	
0.492	1.045332E-05	0.4998693	0.04998693	6.968879E-07	0	5E-09	
0.494	8.362655E-06	0.4998934	0.04998934	5.575103E-07	0	5E-09	
0.496	6.690124E-06	0.499913	0.0499913	4.460082E-07	0	5E-09	
0.498	5.352099E-06	0.4999291	0.04999291	3.568066E-07	0	5E-09	
0.5	4.281679E-06	0.4999422	0.04999422	2.854453E-07	4E-09	5E-09	
0.502	0.1200034	0.4999529	0.04999529	0.008000229	4E-09	5E-09	
0.504	0.2160027	0.4759616	0.04759616	0.01440018	4E-09	5E-09	
0.506	0.2928022	0.4375688	0.04375688	0.01952014	4E-09	5E-09	
0.508	0.3542418	0.3914946	0.03914946	0.02361612	4E-09	5E-09	
0.5100001	0.4033934	0.3423473	0.03423473	0.02689289	4E-09	5E-09	
0.512	0.4427147	0.2931992	0.02931992	0.02951431	4E-09	5E-09	
0.514	0.4741718	0.2460164	0.02460164	0.03161145	4E-09	5E-09	
0.516	0.4993374	0.2019788	0.02019788	0.03328916	4E-09	5E-09	
0.518	0.5194699	0.1617155	0.01617155	0.03463133	4E-09	5E-09	
0.52	0.5355759	0.1254784	0.01254784	0.03570506	4E-09	5E-09	
0.522	0.5484607	0.09326757	0.009326758	0.03656405	4E-09	5E-09	
0.524	0.5587686	0.06492192	0.006492192	0.03725124	4E-09	5E-09	
0.526	0.5670149	0.04018382	0.004018382	0.03780099	4E-09	5E-09	
0.528	0.5736119	0.01874408	0.001874408	0.03824079	4E-09	5E-09	
0.53	0.5788895	0.0002728868	2.728868E-05	0.03859263	4E-09	5E-09	
0.532	0.5831116	0	-0.001555959	0.0388741	4E-09	5E-09	
0.534	0.5864893	0	-0.002906998	0.03909928	4E-09	5E-09	
0.536	0.5891914	0	-0.004055384	0.03927943	4E-09	5E-09	
0.538	0.5913531	0	-0.005028136	0.03942354	4E-09	5E-09	
0.54	0.5930824	0	-0.005849571	0.03953883	4E-09	5E-09	
0.5420001	0.594466	0	-0.006541305	0.03963106	4E-09	5E-09	
0.544	0.5955728	0	-0.007122364	0.03970485	4E-09	5E-09	
0.546	0.5964583	0	-0.007609346	0.03976388	4E-09	5E-09	
0.548	0.5971665	0	-0.008016642	0.0398111	4E-09	5E-09	
0.55	0.5977333	0	-0.008356645	0.03984888	4E-09	5E-09	
0.552	0.5981866	0	-0.008639981	0.03987911	4E-09	5E-09	
0.554	0.5985492	0	-0.008875717	0.03990328	4E-09	5E-09	
0.5560001	0.5988394	0	-0.009071559	0.03992262	4E-09	5E-09	
0.558	0.5990715	0	-0.009234034	0.0399381	4E-09	5E-09	
0.56	0.5992572	0	-0.009368658	0.03995048	4E-09	5E-09	
0.562	0.5994058	0	-0.00948007	0.03996038	4E-09	5E-09	
0.564	0.5995246	0	-0.009572172	0.03996831	4E-09	5E-09	
0.566	0.5996197	0	-0.009648229	0.03997464	4E-09	5E-09	
0.568	0.5996957	0	-0.009710977	0.03997971	4E-09	5E-09	
0.5700001	0.5997566	0	-0.009762697	0.03998377	4E-09	5E-09	
0.572	0.5998052	0	-0.009805289	0.03998702	4E-09	5E-09	
0.574	0.5998442	0	-0.009840336	0.03998961	4E-09	5E-09	
0.576	0.5998754	0	-0.009869153	0.03999169	4E-09	5E-09	
0.578	0.5999003	0	-0.00989283	0.03999335	4E-09	5E-09	
0.58	0.5999203	0	-0.00991227	0.03999468	4E-09	5E-09	
0.582	0.5999362	0	-0.009928222	0.03999574	4E-09	5E-09	
0.5840001	0.5999489	0	-0.009941301	0.03999659	4E-09	5E-09	
0.586	0.5999591	0	-0.009952019	0.03999728	4E-09	5E-09	
0.588	0.5999673	0	-0.009960799	0.03999782	4E-09	5E-09	
0.59	0.5999739	0	-0.009967985	0.03999826	4E-09	5E-09	
0.592	0.599979	0	-0.009973865	0.0399986	4E-09	5E-09	
0.594	0.5999832	0	-0.009978672	0.03999888	4E-09	5E-09	
0.596	0.5999866	0	-0.009982603	0.03999911	4E-09	5E-09	
0.598	0.5999892	0	-0.009985813	0.03999928	4E-09	5E-09	
0.6	0.5999914	0	-0.009988435	0.03999943	0	5E-09	
0.6020001	0.4799931	0	-0.009990576	0.03199954	0	5E-09	
0.604	0.3839945	0	-0.007592323	0.02559963	0	5E-09	
0.606	0.3071955	0	-0.003753747	0.0204797	0	5E-09	
0.608	0.2457564	0.008530917	0.0008530917	0.01638376	0	5E-09	
0.61	0.1966052	0.05767345	0.005767344	0.01310701	0	5E-09	
0.612	0.1572841	0.1068177	0.01068177	0.01048561	0	5E-09	
0.614	0.1258273	0.1539974	0.01539974	0.008388488	0	5E-09	
0.6160001	0.1006619	0.1980324	0.01980324	0.00671079	0	5E-09	
0.618	0.08052947	0.2382936	0.02382936	0.005368632	0	5E-09	
0.62	0.06442358	0.274529	0.0274529	0.004294905	0	5E-09	
0.622	0.05153886	0.3067385	0.03067385	0.003435924	0	5E-09	
0.624	0.04123109	0.335083	0.0335083	0.002748739	0	5E-09	
0.626	0.03298487	0.3598202	0.03598202	0.002198991	0	5E-09	
0.628	0.0263879	0.3812592	0.03812592	0.001759193	0	5E-09	
0.6300001	0.02111032	0.3997298	0.03997298	0.001407354	0	5E-09	
0.632	0.01688825	0.4155618	0.04155618	0.001125884	0	5E-09	
0.634	0.0135106	0.4290718	0.04290717	0.0009007069	0	5E-09	
0.636	0.01080848	0.4405553	0.04405553	0.0007205654	0	5E-09	
0.638	0.008646785	0.4502825	0.04502825	0.0005764524	0	5E-09	
0.64	0.006917428	0.4584967	0.04584967	0.0004611619	0	5E-09	
0.642	0.005533942	0.4654139	0.04654139	0.0003689295	0	5E-09	
0.6440001	0.004427154	0.4712243	0.04712243	0.0002951436	0	5E-09	
0.646	0.003541723	0.476094	0.0476094	0.0002361149	0	5E-09	
0.648	0.002833379	0.4801669	0.04801669	0.0001888919	0	5E-09	
0.65	0.002266703	0.4835668	0.04835668	0.0001511135	0	5E-09	
0.652	0.001813362	0.4864001	0.04864001	0.0001208908	0	5E-09	
0.654	0.00145069	0.4887574	0.04887574	9.671265E-05	0	5E-09	
0.656	0.001160552	0.4907158	0.04907158	7.737012E-05	0	5E-09	
0.6580001	0.0009284414	0.4923405	0.04923405	6.189609E-05	0	5E-09	
0.66	0.0007427531	0.4936867	0.04936867	4.951687E-05	0	5E-09	
0.6620001	0.0005942024	0.4948008	0.04948008	3.96135E-05	0	5E-09	
0.664	0.0004753619	0.4957218	0.04957218	3.16908E-05	0	5E-09	
0.666	0.0003802896	0.4964824	0.04964824	2.535264E-05	0	5E-09	
0.668	0.0003042317	0.4971099	0.04971099	2.028211E-05	0	5E-09	
0.67	0.0002433853	0.497627	0.0497627	1.622569E-05	0	5E-09	
0.6720001	0.0001947082	0.498053	0.04980529	1.298055E-05	0	5E-09	
0.674	0.0001557666	0.4984034	0.04984034	1.038444E-05	0	5E-09	
0.6760001	0.0001246133	0.4986916	0.04986916	8.307552E-06	0	5E-09	
0.678	9.969062E-05	0.4989284	0.04989284	6.646042E-06	0	5E-09	
0.68	7.97525E-05	0.4991227	0.04991227	5.316833E-06	0	5E-09	
0.682	6.3802E-05	0.4992822	0.04992823	4.253467E-06	0	5E-09	
0.684	5.10416E-05	0.499413	0.04994131	3.402773E-06	0	5E-09	
0.686	4.083328E-05	0.4995202	0.04995202	2.722219E-06	0	5E-09	
0.688	3.266662E-05	0.499608	0.0499608	2.177775E-06	0	5E-09	
0.6900001	2.61333E-05	0.4996799	0.04996799	1.74222E-06	0	5E-09	
0.692	2.090664E-05	0.4997387	0.04997387	1.393776E-06	0	5E-09	
0.694	1.672531E-05	0.4997868	0.04997868	1.115021E-06	0	5E-09	
0.696	1.338025E-05	0.4998261	0.04998261	8.920165E-07	0	5E-09	
0.698	1.07042E-05	0.4998582	0.04998582	7.136132E-07	0	5E-09	
0.7	8.563358E-06	0.4998844	0.04998844	5.708906E-07	6E-09	5E-09	
0.702	0.1800069	0.4999058	0.04999058	0.01200046	6E-09	5E-09	
0.7040001	0.3240055	0.4639233	0.04639233	0.02160037	6E-09	5E-09	
0.706	0.4392044	0.4063375	0.04063375	0.02928029	6E-09	5E-09	
0.708	0.5313635	0.3372291	0.03372291	0.03542424	6E-09	5E-09	
0.71	0.6050908	0.2635106	0.02635106	0.04033939	6E-09	5E-09	
0.712	0.6640726	0.1897903	0.01897903	0.04427151	6E-09	5E-09	
0.714	0.7112581	0.1190177	0.01190177	0.04741721	6E-09	5E-09	
0.716	0.7490065	0.05296256	0.005296255	0.04993377	6E-09	5E-09	
0.7180001	0.7792053	0	-0.000743127	0.05194702	6E-09	5E-09	
0.72	0.8033642	0	-0.006178606	0.05355761	6E-09	5E-09	
0.7220001	0.8226913	0	-0.01101017	0.05484609	6E-09	5E-09	
0.724	0.8381531	0	-0.01526196	0.05587687	6E-09	5E-09	
0.726	0.8505225	0	-0.01897263	0.0567015	6E-09	5E-09	
0.728	0.860418	0	-0.02218856	0.0573612	6E-09	5E-09	
0.73	0.8683344	0	-0.0249592	0.05788896	6E-09	5E-09	
0.7320001	0.8746675	0	-0.02733405	0.05831117	6E-09	5E-09	
0.734	0.879734	0	-0.02936059	0.05864893	6E-09	5E-09	
0.7360001	0.8837872	0	-0.03108315	0.05891915	6E-09	5E-09	
0.738	0.8870298	0	-0.03254227	0.05913532	6E-09	5E-09	
0.74	0.8896238	0	-0.03377441	0.05930825	6E-09	5E-09	
0.742	0.8916991	0	-0.034812	0.0594466	6E-09	5E-09	
0.744	0.8933592	0	-0.03568358	0.05955728	6E-09	5E-09	
0.7460001	0.8946874	0	-0.03641405	0.05964582	6E-09	5E-09	
0.748	0.8957499	0	-0.03702499	0.05971666	6E-09	5E-09	
0.7500001	0.8965999	0	-0.03753499	0.05977333	6E-09	5E-09	
0.752	0.8972799	0	-0.03795999	0.05981866	6E-09	5E-09	
0.754	0.8978239	0	-0.03831359	0.05985493	6E-09	5E-09	
0.756	0.8982591	0	-0.03860735	0.05988394	6E-09	5E-09	
0.758	0.8986073	0	-0.03885106	0.05990715	6E-09	5E-09	
0.7600001	0.8988858	0	-0.039053	0.05992572	6E-09	5E-09	
0.762	0.8991087	0	-0.03922011	0.05994058	6E-09	5E-09	
0.7640001	0.899287	0	-0.03935827	0.05995246	6E-09	5E-09	
0.766	0.8994296	0	-0.03947235	0.05996197	6E-09	5E-09	
0.768	0.8995436	0	-0.03956647	0.05996958	6E-09	5E-09	
0.77	0.8996349	0	-0.03964405	0.05997566	6E-09	5E-09	
0.772	0.899708	0	-0.03970794	0.05998053	6E-09	5E-09	
0.774	0.8997663	0	-0.03976051	0.05998442	6E-09	5E-09	
