Time	S1I1Vm	S1I2Vm	S1F1Vm	S1F2Vm	S1F1Ia	S1I2Ia	S1F2FF	S1F1FF	S2F4	S2F1	
0	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0002	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0004	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0006	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0008	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0009999999	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0012	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0014	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0016	-0.1	-0.1	-0.07	-0.07	0	0	0	0	0	0	
0.0018	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.002	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0022	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0024	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0026	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0028	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.003	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0032	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0034	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0036	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	0	0	
0.0038	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.004	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0042	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0044	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0046	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0048	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.005	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0052	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0054	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0056	-0.1	-0.1	-0.06999928	-0.06997775	0	2.159999E-14	0.00011128	2.159999E-06	0	0	
0.0058	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.006	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0062	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0064	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0066	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0068	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.007	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0072	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0074	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0076	-0.1	-0.1	-0.06999707	-0.06995499	0	8.793599E-14	0.0002250544	8.793599E-06	0	0	
0.0078	-0.1	-0.1	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.007999999	-0.1	-0.09999999	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0082	-0.1	-0.09999999	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0084	-0.1	-0.09999998	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.008599999	-0.1	-0.09999997	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0088	-0.1	-0.09999996	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.009	-0.1	-0.09999996	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0092	-0.1	-0.09999995	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0094	-0.1	-0.09999994	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0096	-0.1	-0.09999993	-0.06999262	-0.06992469	0	2.212099E-13	0.0003765533	2.212099E-05	0	0	
0.0098	-0.1	-0.09999993	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.01	-0.1	-0.09999991	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0102	-0.1	-0.09999989	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0104	-0.1	-0.09999987	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0106	-0.1	-0.09999986	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0108	-0.1	-0.09999985	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.011	-0.1	-0.09999984	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0112	-0.1	-0.09999983	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0114	-0.1	-0.09999982	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
0.0116	-0.1	-0.09999982	-0.06998524	-0.069887	0	4.427176E-13	0.0005650222	4.427176E-05	0	0	
