Time	5ExternalOff	7ExternalOff	6SynapticOff	5FFOff	6FFOff	7FFOff	8SynapticOn	9ExternalOn	5ExternalOn	9FFon	5FFOn	8FFOn	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0.002	0	0	0	0	0	0	0	0	0	0	0	0	
0.004	0	0	0	0	0	0	0	0	0	0	0	0	
0.006	0	0	0	0	0	0	0	0	0	0	0	0	
0.008	0	0	0	0	0	0	0	0	0	0	0	0	
0.01	0	0	0	0	0	0	0	0	0	0	0	0	
0.012	0	0	0	0	0	0	0	0	0	0	0	0	
0.014	0	0	0	0	0	0	0	0	0	0	0	0	
0.016	0	0	0	0	0	0	0	0	0	0	0	0	
0.018	0	0	0	0	0	0	0	0	0	0	0	0	
0.02	0	0	0	0	0	0	0	0	0	0	0	0	
0.022	0	0	0	0	0	0	0	0	0	0	0	0	
0.024	0	0	0	0	0	0	0	0	0	0	0	0	
0.026	0	0	0	0	0	0	0	0	0	0	0	0	
0.028	0	0	0	0	0	0	0	0	0	0	0	0	
0.03	0	0	0	0	0	0	0	0	0	0	0	0	
0.032	0	0	0	0	0	0	0	0	0	0	0	0	
0.034	0	0	0	0	0	0	0	0	0	0	0	0	
0.036	0	0	0	0	0	0	0	0	0	0	0	0	
0.038	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	0	0	0	0	0	0	0	0	0	0	0	0	
0.042	0	0	0	0	0	0	0	0	0	0	0	0	
0.044	0	0	0	0	0	0	0	0	0	0	0	0	
0.046	0	0	0	0	0	0	0	0	0	0	0	0	
0.048	0	0	0	0	0	0	0	0	0	0	0	0	
0.05	0	0	0	0	0	0	0	0	0	0	0	0	
0.052	0	0	0	0	0	0	0	0	0	0	0	0	
0.054	0	0	0	0	0	0	0	0	0	0	0	0	
0.056	0	0	0	0	0	0	0	0	0	0	0	0	
0.058	0	0	0	0	0	0	0	0	0	0	0	0	
0.06	0	0	0	0	0	0	0	0	0	0	0	0	
0.062	0	0	0	0	0	0	0	0	0	0	0	0	
0.064	0	0	0	0	0	0	0	0	0	0	0	0	
0.066	0	0	0	0	0	0	0	0	0	0	0	0	
0.068	0	0	0	0	0	0	0	0	0	0	0	0	
0.07	0	0	0	0	0	0	0	0	0	0	0	0	
0.072	0	0	0	0	0	0	0	0	0	0	0	0	
0.074	0	0	0	0	0	0	0	0	0	0	0	0	
0.07600001	0	0	0	0	0	0	0	0	0	0	0	0	
0.078	0	0	0	0	0	0	0	0	0	0	0	0	
0.08000001	0	0	0	0	0	0	0	0	0	0	0	0	
0.082	0	0	0	0	0	0	0	0	0	0	0	0	
0.08400001	0	0	0	0	0	0	0	0	0	0	0	0	
0.086	0	0	0	0	0	0	0	0	0	0	0	0	
0.08800001	0	0	0	0	0	0	0	0	0	0	0	0	
0.09	0	0	0	0	0	0	0	0	0	0	0	0	
0.09200001	0	0	0	0	0	0	0	0	0	0	0	0	
0.094	0	0	0	0	0	0	0	0	0	0	0	0	
0.096	0	0	0	0	0	0	0	0	0	0	0	0	
0.098	0	0	0	0	0	0	0	0	0	0	0	0	
0.1	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.102	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.104	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.106	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.108	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.11	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.112	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.114	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.116	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.118	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.12	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.122	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.124	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.126	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.128	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.13	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.132	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.134	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.136	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.138	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.14	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.142	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.144	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.146	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.148	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.15	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.152	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.154	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.156	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.158	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.16	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.162	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.164	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
0.166	-2E-09	0	0	0	0	0	0	0	-2E-09	0	0	0	
