Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.08400001	-0.1127385	-0.6908618	2.295954E-05	0.1617595	
0.085	-0.1141155	-0.6906356	2.323998E-05	0.163753	
0.086	-0.115492	-0.6904068	2.352031E-05	0.1657465	
0.087	-0.1168681	-0.6901752	2.380054E-05	0.1677399	
0.08800001	-0.1182436	-0.6899409	2.408067E-05	0.1697333	
0.089	-0.1196186	-0.6897039	2.43607E-05	0.1717272	
0.09	-0.120993	-0.689464	2.464061E-05	0.1737197	
0.09100001	-0.1223669	-0.6892216	2.492041E-05	0.1757129	
0.09200001	-0.1237403	-0.6889762	2.52001E-05	0.1777057	
0.093	-0.1251131	-0.6887283	2.547968E-05	0.1796988	
0.094	-0.1264854	-0.6884776	2.575915E-05	0.1816915	
0.09500001	-0.1278571	-0.6882243	2.60385E-05	0.1836843	
0.096	-0.1292283	-0.6879682	2.631775E-05	0.1856776	
0.097	-0.1305988	-0.6877092	2.659686E-05	0.1876694	
0.098	-0.1319688	-0.6874477	2.687586E-05	0.1896619	
0.09900001	-0.1333383	-0.6871833	2.715475E-05	0.1916544	
0.1	-0.1347071	-0.6869163	2.743353E-05	0.1936467	
0.101	-0.1360754	-0.6866465	2.771219E-05	0.1956391	
0.102	-0.1374431	-0.6863741	2.799072E-05	0.1976313	
0.103	-0.1388102	-0.6860991	2.826913E-05	0.1996241	
0.104	-0.1401766	-0.6858211	2.85474E-05	0.2016154	
0.105	-0.1415424	-0.6855405	2.882556E-05	0.2036074	
0.106	-0.1429076	-0.6852572	2.910358E-05	0.2055993	
0.107	-0.1442723	-0.6849712	2.93815E-05	0.207591	
0.108	-0.1456362	-0.6846825	2.965928E-05	0.2095827	
0.109	-0.1469996	-0.6843912	2.993694E-05	0.2115752	
0.11	-0.1483623	-0.684097	3.021445E-05	0.213566	
0.111	-0.1497244	-0.6838002	3.049184E-05	0.2155574	
0.112	-0.1510858	-0.6835006	3.07691E-05	0.2175488	
0.113	-0.1524466	-0.6831984	3.104623E-05	0.2195401	
0.114	-0.1538067	-0.6828935	3.132322E-05	0.2215314	
0.115	-0.1551661	-0.6825859	3.160007E-05	0.2235225	
0.116	-0.1565248	-0.6822757	3.187676E-05	0.2255136	
0.117	-0.1578829	-0.6819627	3.215333E-05	0.2275044	
0.118	-0.1592402	-0.681647	3.242978E-05	0.2294952	
0.119	-0.160597	-0.6813287	3.270608E-05	0.231486	
0.12	-0.1619529	-0.6810076	3.298222E-05	0.2334767	
0.121	-0.1633083	-0.6806839	3.325823E-05	0.2354674	
0.122	-0.1646629	-0.6803574	3.35341E-05	0.2374579	
0.123	-0.1660168	-0.6800283	3.380984E-05	0.2394484	
0.124	-0.16737	-0.6796965	3.408543E-05	0.2414389	
0.125	-0.1687225	-0.6793621	3.436087E-05	0.2434292	
0.126	-0.1700743	-0.6790249	3.463616E-05	0.2454194	
0.127	-0.1714253	-0.6786851	3.49113E-05	0.2474096	
0.128	-0.1727756	-0.6783426	3.518629E-05	0.2493997	
0.129	-0.1741252	-0.6779975	3.546114E-05	0.2513897	
0.13	-0.175474	-0.6776496	3.573583E-05	0.2533796	
0.131	-0.176822	-0.6772991	3.601036E-05	0.2553694	
0.132	-0.1781693	-0.6769459	3.628474E-05	0.2573591	
0.133	-0.1795159	-0.6765901	3.655897E-05	0.2593487	
0.134	-0.1808616	-0.6762316	3.683304E-05	0.2613383	
0.135	-0.1822066	-0.6758705	3.710695E-05	0.2633278	
0.136	-0.1835508	-0.6755067	3.738069E-05	0.2653172	
0.137	-0.1848942	-0.6751402	3.765429E-05	0.2673064	
0.138	-0.1862369	-0.674771	3.792772E-05	0.2692958	
0.139	-0.1875788	-0.6743993	3.8201E-05	0.2712849	
0.14	-0.1889198	-0.6740248	3.847411E-05	0.273274	
0.141	-0.1902601	-0.6736478	3.874707E-05	0.2752631	
0.142	-0.1915996	-0.673268	3.901985E-05	0.2772521	
0.143	-0.1929382	-0.6728856	3.929248E-05	0.2792409	
0.144	-0.1942761	-0.6725006	3.956493E-05	0.2812296	
0.145	-0.1956131	-0.6721129	3.983722E-05	0.2832184	
0.146	-0.1969493	-0.6717225	4.010934E-05	0.285207	
0.147	-0.1982847	-0.6713296	4.03813E-05	0.2871955	
0.148	-0.1996192	-0.670934	4.065307E-05	0.289184	
0.149	-0.2009529	-0.6705357	4.092468E-05	0.2911724	
0.15	-0.2022857	-0.6701348	4.119612E-05	0.2931607	
0.151	-0.2036177	-0.6697313	4.146738E-05	0.2951489	
0.152	-0.2049488	-0.6693252	4.173847E-05	0.2971371	
0.153	-0.2062791	-0.6689164	4.200938E-05	0.2991252	
