Time	PendulumX	PendulumY	PendulumZ	Rotation	
0	0	-0.7	0	0	
0.001	2.242399E-06	-0.7000001	-6.34604E-11	-3.191444E-06	
0.002	9.467759E-06	-0.7000001	-6.653308E-10	-1.352408E-05	
0.003	2.167605E-05	-0.7000001	-2.471456E-09	-3.096565E-05	
0.004	3.886709E-05	-0.7000001	-6.125409E-09	-5.55244E-05	
0.005	6.104062E-05	-0.7000001	-1.098754E-08	-8.720089E-05	
0.006	8.819633E-05	-0.7000001	-1.687605E-08	-0.0001259948	
0.007	0.0001203339	-0.7000001	-2.369008E-08	-0.0001719055	
0.008	0.0001574527	-0.7000001	-3.116641E-08	-0.0002249325	
0.009000001	0.0001995525	-0.7	-4.00149E-08	-0.000285075	
0.01	0.0002466325	-0.7	-4.971023E-08	-0.000352332	
0.011	0.0002986921	-0.7	-6.025262E-08	-0.0004267029	
0.012	0.0003557305	-0.7	-7.193056E-08	-0.0005081868	
0.013	0.000417747	-0.7	-8.464412E-08	-0.0005967817	
0.014	0.0004847407	-0.6999999	-9.843643E-08	-0.0006924868	
0.015	0.0005567108	-0.6999999	-1.13098E-07	-0.0007953013	
0.016	0.000633656	-0.6999997	-1.288545E-07	-0.0009052231	
0.017	0.0007155756	-0.6999997	-1.455231E-07	-0.001022251	
0.018	0.0008024682	-0.6999996	-1.632363E-07	-0.001146383	
0.019	0.0008943326	-0.6999995	-1.818175E-07	-0.001277619	
0.02	0.0009911675	-0.6999994	-2.016291E-07	-0.001415954	
0.021	0.001092972	-0.6999992	-2.22399E-07	-0.001561389	
0.022	0.001199743	-0.699999	-2.440258E-07	-0.00171392	
0.023	0.001311481	-0.6999988	-2.668509E-07	-0.001873546	
0.024	0.001428184	-0.6999986	-2.907248E-07	-0.002040264	
0.025	0.00154985	-0.6999983	-3.154987E-07	-0.002214073	
0.026	0.001676477	-0.699998	-3.413037E-07	-0.00239497	
0.027	0.001808064	-0.6999976	-3.681048E-07	-0.002582952	
0.028	0.001944609	-0.6999972	-3.958021E-07	-0.002778017	
0.029	0.002086109	-0.6999969	-4.247659E-07	-0.00298016	
0.03	0.002232563	-0.6999964	-4.544643E-07	-0.003189382	
0.031	0.002383969	-0.6999959	-4.852907E-07	-0.003405677	
0.032	0.002540324	-0.6999955	-5.171526E-07	-0.003629042	
0.033	0.002701626	-0.6999948	-5.499969E-07	-0.003859476	
0.034	0.002867874	-0.6999941	-5.838698E-07	-0.004096975	
0.035	0.003039064	-0.6999934	-6.187881E-07	-0.004341533	
0.036	0.003215195	-0.6999926	-6.546363E-07	-0.004593153	
0.037	0.003396264	-0.6999917	-6.914775E-07	-0.004851826	
0.038	0.003582268	-0.6999908	-7.293834E-07	-0.005117549	
0.039	0.003773204	-0.6999899	-7.682547E-07	-0.00539032	
0.04	0.00396907	-0.6999888	-8.081716E-07	-0.005670133	
0.041	0.004169863	-0.6999876	-8.490459E-07	-0.005956984	
0.042	0.004375581	-0.6999863	-8.910089E-07	-0.006250873	
0.043	0.004586221	-0.699985	-9.338769E-07	-0.006551793	
0.044	0.00480178	-0.6999835	-9.777744E-07	-0.006859741	
0.045	0.005022253	-0.699982	-1.02268E-06	-0.00717471	
