Time	Vm	Activation	Inactivation	
5.0126	-0.04867155	0.4562946	0.06236626	
5.0128	-0.04867521	0.4559448	0.06237996	
5.013	-0.04867886	0.455595	0.06239369	
5.0132	-0.04868251	0.4552452	0.06240745	
5.0134	-0.04868617	0.4548954	0.06242125	
5.0136	-0.04868981	0.4545456	0.06243507	
5.0138	-0.04869346	0.4541957	0.06244893	
5.014	-0.0486971	0.4538458	0.06246281	
5.0142	-0.04870074	0.4534959	0.06247673	
5.0144	-0.04870437	0.453146	0.06249068	
5.0146	-0.04870801	0.4527961	0.06250466	
5.0148	-0.04871164	0.4524462	0.06251867	
5.015	-0.04871527	0.4520963	0.06253272	
5.0152	-0.0487189	0.4517463	0.06254679	
5.0154	-0.04872252	0.4513964	0.06256089	
5.0156	-0.04872615	0.4510464	0.06257503	
5.0158	-0.04872977	0.4506965	0.06258919	
5.016	-0.04873338	0.4503465	0.06260339	
5.0162	-0.048737	0.4499965	0.06261762	
5.0164	-0.04874061	0.4496466	0.06263188	
5.0166	-0.04874422	0.4492966	0.06264617	
5.0168	-0.04874783	0.4489466	0.0626605	
5.017	-0.04875144	0.4485967	0.06267486	
5.0172	-0.04875503	0.4482467	0.06268924	
5.0174	-0.04875863	0.4478967	0.06270366	
5.0176	-0.04876223	0.4475468	0.06271811	
5.0178	-0.04876582	0.4471968	0.06273259	
5.018	-0.04876942	0.4468468	0.06274711	
5.0182	-0.04877301	0.4464968	0.06276165	
5.0184	-0.04877659	0.4461469	0.06277622	
5.0186	-0.04878018	0.4457969	0.06279083	
5.0188	-0.04878376	0.445447	0.06280547	
5.019	-0.04878734	0.4450971	0.06282014	
5.0192	-0.04879091	0.4447471	0.06283484	
5.0194	-0.04879449	0.4443972	0.06284958	
5.0196	-0.04879806	0.4440473	0.06286435	
5.0198	-0.04880162	0.4436975	0.06287915	
5.02	-0.04880519	0.4433476	0.06289397	
5.0202	-0.04880875	0.4429977	0.06290884	
5.0204	-0.04881231	0.4426479	0.06292373	
5.0206	-0.04881587	0.4422981	0.06293865	
5.0208	-0.04881942	0.4419483	0.06295361	
5.021	-0.04882297	0.4415985	0.0629686	
5.0212	-0.04882652	0.4412488	0.06298362	
5.0214	-0.04883007	0.440899	0.06299867	
5.0216	-0.04883361	0.4405493	0.06301376	
