Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.04	0.04251467	0.04208348	0.04246813	0.04215852	0.04248194	0.04249303	0.04236655	0.04249898	0.04241277	0.042235	0.04221803	0.04220469	0.04211827	0.04260577	0.04212829	0.04212755	0.04203355	0.04213111	0.04238796	0.04232334	0.04222162	0.04251696	0.04231065	0.04228214	0.04189162	
0.042	0.04334427	0.04302392	0.04330444	0.04296651	0.04339327	0.04334286	0.04323996	0.04327019	0.04330007	0.04302892	0.04303399	0.04310114	0.04299838	0.04346049	0.04304066	0.04297455	0.04280564	0.04308358	0.04322101	0.04313598	0.04298932	0.04334977	0.04312075	0.04315445	0.04280134	
0.044	0.04416413	0.04374167	0.04406746	0.04371412	0.0440847	0.04417285	0.04399933	0.04396889	0.04408191	0.04388613	0.04386809	0.04386464	0.04384892	0.04430569	0.04381512	0.04370163	0.04350228	0.04385749	0.04406967	0.04396366	0.0438382	0.04417712	0.04384691	0.04396337	0.04359797	
0.046	0.04489493	0.04456871	0.04471552	0.04451001	0.04489202	0.04493658	0.04464682	0.04468463	0.04479092	0.04464554	0.04452365	0.04465043	0.04457776	0.044972	0.04452794	0.04438413	0.04433437	0.04453366	0.04486834	0.04468149	0.0446206	0.04491905	0.04456748	0.04461109	0.04430096	
0.048	0.04547293	0.04530265	0.04529143	0.04525068	0.04554491	0.04560806	0.04526319	0.0452865	0.04550247	0.04533924	0.04522419	0.04531942	0.04527424	0.04556664	0.04511205	0.04516257	0.04501532	0.04520484	0.04558176	0.04535452	0.04533548	0.04556211	0.04522426	0.04525061	0.04505157	
0.05	0.04617339	0.04588832	0.04594497	0.04596237	0.04620761	0.04618998	0.04592996	0.04587483	0.04617471	0.04600084	0.04580449	0.04600547	0.04580496	0.04625568	0.04582451	0.0457524	0.04560835	0.04582457	0.04629052	0.04591304	0.04589505	0.0461623	0.0458562	0.0458497	0.04571956	
0.052	0.04669324	0.04637641	0.04645465	0.04656671	0.04678576	0.04685485	0.04655088	0.04652196	0.0467334	0.04660206	0.0464393	0.04652048	0.04630673	0.0467439	0.04640527	0.04629589	0.04621357	0.04634126	0.04691687	0.04643197	0.04645679	0.04683105	0.04634498	0.04646924	0.04625349	
0.054	0.04729391	0.04691381	0.04695037	0.04718595	0.04727209	0.04734327	0.04716087	0.04701114	0.04735295	0.04719733	0.04693134	0.04709366	0.04679095	0.04720902	0.04692223	0.04679292	0.04681703	0.04682504	0.0473826	0.04695889	0.04696031	0.04741585	0.04683651	0.04709537	0.04679637	
0.056	0.04781386	0.04749993	0.04735688	0.04762784	0.04774822	0.04788088	0.04766395	0.04760098	0.04781597	0.04760659	0.04742051	0.04752958	0.04731688	0.04760071	0.04744792	0.04719941	0.04728448	0.04729055	0.04795247	0.04737463	0.04745729	0.04785938	0.04725037	0.04753852	0.0473347	
0.058	0.04819647	0.04791681	0.04787824	0.04807856	0.04824525	0.04837181	0.04819993	0.04800838	0.04831582	0.04797369	0.04788512	0.0480894	0.04780483	0.04813801	0.04781145	0.04765234	0.04775526	0.04783639	0.04845941	0.0477414	0.04784648	0.04834653	0.04771381	0.04802576	0.04774298	
