Time	Body_2 X	Body_2 Z	Body_2 Y	
0	0	-0.2	0	
0.001	0	-0.2	-8.459117E-06	
0.002	2.204733E-19	-0.2	-2.444934E-05	
0.003	2.571565E-18	-0.2	-4.733518E-05	
0.004	1.322155E-17	-0.2	-7.668335E-05	
0.005	5.05625E-17	-0.2	-0.0001122003	
0.006	1.523017E-16	-0.2	-0.0001536889	
0.007	3.858711E-16	-0.2	-0.0002010184	
0.008	8.570344E-16	-0.2	-0.0002541039	
0.009000001	1.72054E-15	-0.1999999	-0.0003128919	
0.01	3.195742E-15	-0.1999998	-0.0003773501	
0.011	5.571369E-15	-0.1999997	-0.0004474609	
0.012	9.219793E-15	-0.1999996	-0.0005232166	
0.013	1.460174E-14	-0.1999993	-0.000604616	
0.014	2.227326E-14	-0.199999	-0.0006916621	
0.015	3.289455E-14	-0.1999986	-0.0007843607	
0.016	4.723218E-14	-0.1999981	-0.0008827192	
0.017	6.616346E-14	-0.1999974	-0.0009867459	
0.018	9.068029E-14	-0.1999965	-0.00109645	
0.019	1.218905E-13	-0.1999954	-0.001211839	
0.02	1.6102E-13	-0.1999941	-0.001332923	
0.021	2.094106E-13	-0.1999925	-0.001459709	
0.022	2.685262E-13	-0.1999906	-0.001592205	
0.023	3.399493E-13	-0.1999884	-0.001730418	
0.024	4.25382E-13	-0.1999858	-0.001874355	
0.025	5.266446E-13	-0.1999827	-0.002024021	
0.026	6.456741E-13	-0.1999792	-0.002179422	
0.027	7.845262E-13	-0.1999751	-0.002340561	
0.028	9.453728E-13	-0.1999704	-0.002507442	
0.029	1.1305E-12	-0.1999651	-0.002680068	
0.03	1.342308E-12	-0.1999591	-0.00285844	
0.031	1.583313E-12	-0.1999524	-0.00304256	
0.032	1.856141E-12	-0.1999448	-0.003232428	
0.033	2.163528E-12	-0.1999364	-0.003428042	
0.034	2.508318E-12	-0.199927	-0.0036294	
0.035	2.89346E-12	-0.1999166	-0.003836501	
0.036	3.32201E-12	-0.1999052	-0.004049339	
0.037	3.797129E-12	-0.1998926	-0.00426791	
0.038	4.322077E-12	-0.1998787	-0.004492209	
0.039	4.900217E-12	-0.1998636	-0.004722227	
0.04	5.53501E-12	-0.1998471	-0.004957956	
0.041	6.230007E-12	-0.1998291	-0.005199387	
0.042	6.988862E-12	-0.1998095	-0.005446509	
0.043	7.815317E-12	-0.1997884	-0.005699308	
0.044	8.713201E-12	-0.1997655	-0.005957772	
0.045	9.686438E-12	-0.1997408	-0.006221887	
0.046	1.073903E-11	-0.1997143	-0.006491635	
0.047	1.187507E-11	-0.1996857	-0.006766997	
0.048	1.309873E-11	-0.1996551	-0.007047954	
0.049	1.441426E-11	-0.1996222	-0.007334486	
0.05	1.582598E-11	-0.1995872	-0.007626568	
0.051	1.733832E-11	-0.1995497	-0.007924176	
0.052	1.895574E-11	-0.1995097	-0.008227284	
0.053	2.068279E-11	-0.1994672	-0.008535862	
0.054	2.252409E-11	-0.199422	-0.008849881	
0.055	2.448434E-11	-0.199374	-0.009169308	
0.056	2.656827E-11	-0.1993231	-0.009494109	
0.057	2.878071E-11	-0.1992693	-0.009824246	
0.058	3.112653E-11	-0.1992123	-0.01015968	
0.059	3.361066E-11	-0.199152	-0.01050037	
0.06	3.623809E-11	-0.1990885	-0.01084628	
0.061	3.901386E-11	-0.1990214	-0.01119735	
0.062	4.194306E-11	-0.1989509	-0.01155355	
0.063	4.503083E-11	-0.1988766	-0.01191481	
0.064	4.828235E-11	-0.1987985	-0.01228109	
0.06500001	5.170285E-11	-0.1987165	-0.01265232	
0.066	5.52976E-11	-0.1986304	-0.01302846	
0.067	5.907189E-11	-0.1985402	-0.01340944	
0.068	6.303107E-11	-0.1984458	-0.01379519	
0.06900001	6.718048E-11	-0.1983469	-0.01418565	
0.07	7.152552E-11	-0.1982434	-0.01458075	
0.071	7.607161E-11	-0.1981354	-0.01498041	
0.072	8.082417E-11	-0.1980225	-0.01538456	
0.07300001	8.578865E-11	-0.1979048	-0.01579312	
0.074	9.09705E-11	-0.197782	-0.01620601	
0.075	9.637521E-11	-0.1976541	-0.01662313	
0.07600001	1.020082E-10	-0.1975209	-0.01704441	
0.07700001	1.07875E-10	-0.1973824	-0.01746975	
0.078	1.139811E-10	-0.1972383	-0.01789905	
0.079	1.203318E-10	-0.1970885	-0.01833222	
0.08000001	1.269326E-10	-0.196933	-0.01876914	
0.081	1.33789E-10	-0.1967717	-0.01920973	
0.082	1.409064E-10	-0.1966043	-0.01965385	
0.083	1.4829E-10	-0.1964307	-0.02010142	
0.08400001	1.559452E-10	-0.196251	-0.0205523	
0.085	1.638774E-10	-0.1960648	-0.02100637	
0.086	1.720917E-10	-0.1958721	-0.02146352	
0.087	1.805934E-10	-0.1956729	-0.0219236	
0.08800001	1.893875E-10	-0.1954669	-0.0223865	
0.089	1.984791E-10	-0.1952541	-0.02285208	
0.09	2.078733E-10	-0.1950343	-0.02332019	
0.09100001	2.17575E-10	-0.1948075	-0.0237907	
0.09200001	2.275889E-10	-0.1945734	-0.02426346	
0.093	2.379199E-10	-0.1943321	-0.02473832	
0.094	2.485726E-10	-0.1940834	-0.02521511	
0.09500001	2.595516E-10	-0.1938273	-0.0256937	
0.096	2.708613E-10	-0.1935635	-0.02617391	
0.097	2.825061E-10	-0.193292	-0.02665558	
0.098	2.944901E-10	-0.1930128	-0.02713855	
0.09900001	3.068175E-10	-0.1927256	-0.02762263	
0.1	3.194923E-10	-0.1924305	-0.02810766	
0.101	3.325182E-10	-0.1921274	-0.02859345	
0.102	3.458989E-10	-0.1918161	-0.02907983	
0.103	3.596379E-10	-0.1914967	-0.0295666	
0.104	3.737387E-10	-0.1911689	-0.03005359	
0.105	3.882043E-10	-0.1908328	-0.03054058	
0.106	4.030378E-10	-0.1904882	-0.0310274	
0.107	4.182421E-10	-0.1901352	-0.03151384	
0.108	4.338197E-10	-0.1897736	-0.03199969	
0.109	4.497732E-10	-0.1894034	-0.03248476	
0.11	4.661049E-10	-0.1890246	-0.03296883	
0.111	4.828166E-10	-0.1886371	-0.03345171	
0.112	4.999104E-10	-0.1882408	-0.03393317	
0.113	5.173879E-10	-0.1878358	-0.034413	
0.114	5.352502E-10	-0.1874219	-0.03489098	
0.115	5.534989E-10	-0.1869993	-0.0353669	
0.116	5.721346E-10	-0.1865678	-0.03584052	
0.117	5.911582E-10	-0.1861274	-0.03631164	
0.118	6.1057E-10	-0.1856782	-0.03678002	
0.119	6.303703E-10	-0.1852201	-0.03724543	
0.12	6.50559E-10	-0.1847532	-0.03770766	
0.121	6.711358E-10	-0.1842774	-0.03816647	
0.122	6.921001E-10	-0.1837927	-0.03862162	
0.123	7.13451E-10	-0.1832993	-0.0390729	
0.124	7.351875E-10	-0.182797	-0.03952006	
0.125	7.573081E-10	-0.182286	-0.03996288	
0.126	7.798112E-10	-0.1817663	-0.04040112	
0.127	8.026946E-10	-0.1812379	-0.04083456	
0.128	8.259564E-10	-0.1807009	-0.04126295	
0.129	8.495938E-10	-0.1801554	-0.04168607	
0.13	8.736041E-10	-0.1796014	-0.04210369	
0.131	8.979842E-10	-0.1790389	-0.04251556	
0.132	9.227305E-10	-0.1784682	-0.04292148	
0.133	9.478395E-10	-0.1778892	-0.04332121	
0.134	9.733071E-10	-0.177302	-0.04371452	
0.135	9.99129E-10	-0.1767068	-0.04410119	
0.136	1.025301E-09	-0.1761037	-0.04448099	
0.137	1.051817E-09	-0.1754927	-0.0448537	
0.138	1.078673E-09	-0.174874	-0.04521911	
0.139	1.105864E-09	-0.1742478	-0.045577	
0.14	1.133382E-09	-0.1736141	-0.04592716	
0.141	1.161224E-09	-0.1729731	-0.04626938	
0.142	1.189381E-09	-0.1723249	-0.04660344	
0.143	1.217848E-09	-0.1716698	-0.04692916	
0.144	1.246617E-09	-0.1710078	-0.04724633	
0.145	1.275682E-09	-0.1703391	-0.04755476	
0.146	1.305035E-09	-0.1696639	-0.04785426	
0.147	1.334668E-09	-0.1689824	-0.04814463	
0.148	1.364574E-09	-0.1682948	-0.0484257	
0.149	1.394744E-09	-0.1676012	-0.0486973	
0.15	1.42517E-09	-0.1669018	-0.04895926	
0.151	1.455843E-09	-0.1661969	-0.0492114	
0.152	1.486754E-09	-0.1654866	-0.04945357	
0.153	1.517894E-09	-0.1647712	-0.04968561	
0.154	1.549254E-09	-0.1640508	-0.04990738	
0.155	1.580824E-09	-0.1633258	-0.05011874	
0.156	1.612594E-09	-0.1625962	-0.05031955	
0.157	1.644555E-09	-0.1618625	-0.05050967	
0.158	1.676696E-09	-0.1611247	-0.050689	
0.159	1.709007E-09	-0.1603831	-0.05085741	
0.16	1.741477E-09	-0.159638	-0.05101479	
0.161	1.774096E-09	-0.1588896	-0.05116105	
0.162	1.806854E-09	-0.1581381	-0.05129609	
0.163	1.839738E-09	-0.1573839	-0.05141982	
0.164	1.872738E-09	-0.1566271	-0.05153218	
0.165	1.905844E-09	-0.155868	-0.05163306	
0.166	1.939042E-09	-0.1551069	-0.05172243	
0.167	1.972324E-09	-0.1543441	-0.05180022	
0.168	2.005676E-09	-0.1535798	-0.05186639	
0.169	2.039088E-09	-0.1528142	-0.05192089	
0.17	2.072547E-09	-0.1520476	-0.0519637	
0.171	2.106042E-09	-0.1512803	-0.05199478	
0.172	2.139563E-09	-0.1505126	-0.05201413	
0.173	2.173096E-09	-0.1497447	-0.05202174	
0.174	2.20663E-09	-0.148977	-0.0520176	
0.175	2.240155E-09	-0.1482095	-0.05200172	
0.176	2.273657E-09	-0.1474427	-0.05197413	
0.177	2.307126E-09	-0.1466768	-0.05193483	
0.178	2.340549E-09	-0.1459121	-0.05188388	
0.179	2.373916E-09	-0.1451487	-0.0518213	
0.18	2.407215E-09	-0.1443871	-0.05174714	
0.181	2.440434E-09	-0.1436274	-0.05166147	
0.182	2.473563E-09	-0.1428699	-0.05156434	
0.183	2.50659E-09	-0.1421149	-0.05145581	
0.184	2.539503E-09	-0.1413625	-0.05133599	
0.185	2.572293E-09	-0.1406132	-0.05120494	
0.186	2.604948E-09	-0.139867	-0.05106276	
0.187	2.637458E-09	-0.1391243	-0.05090956	
0.188	2.669811E-09	-0.1383853	-0.05074544	
0.189	2.701998E-09	-0.1376502	-0.05057052	
0.19	2.734007E-09	-0.1369193	-0.05038491	
0.191	2.765831E-09	-0.1361927	-0.05018875	
0.192	2.797457E-09	-0.1354708	-0.04998217	
0.193	2.828878E-09	-0.1347537	-0.04976531	
0.194	2.860082E-09	-0.1340417	-0.04953832	
0.195	2.891062E-09	-0.133335	-0.04930134	
0.196	2.921808E-09	-0.1326337	-0.04905455	
0.197	2.952311E-09	-0.131938	-0.0487981	
0.198	2.982562E-09	-0.1312483	-0.04853216	
0.199	3.012554E-09	-0.1305646	-0.0482569	
0.2	3.042278E-09	-0.1298871	-0.04797252	
0.201	3.071726E-09	-0.129216	-0.04767918	
0.202	3.100892E-09	-0.1285515	-0.04737708	
0.203	3.129766E-09	-0.1278938	-0.04706641	
0.204	3.158343E-09	-0.127243	-0.04674737	
0.205	3.186616E-09	-0.1265992	-0.04642015	
0.206	3.214578E-09	-0.1259627	-0.04608497	
0.207	3.242223E-09	-0.1253335	-0.04574203	
0.208	3.269545E-09	-0.1247118	-0.04539154	
0.209	3.296538E-09	-0.1240977	-0.0450337	
0.21	3.323197E-09	-0.1234913	-0.04466876	
0.211	3.349517E-09	-0.1228928	-0.0442969	
0.212	3.375493E-09	-0.1223022	-0.04391837	
0.213	3.40112E-09	-0.1217197	-0.04353337	
0.214	3.426395E-09	-0.1211453	-0.04314214	
0.215	3.451313E-09	-0.1205792	-0.0427449	
0.216	3.475871E-09	-0.1200214	-0.04234187	
0.217	3.500065E-09	-0.119472	-0.04193329	
0.218	3.523892E-09	-0.118931	-0.04151938	
0.219	3.54735E-09	-0.1183986	-0.04110038	
0.22	3.570435E-09	-0.1178748	-0.0406765	
0.221	3.593145E-09	-0.1173596	-0.040248	
0.222	3.61548E-09	-0.1168531	-0.03981508	
